Rasho Nesterovic,San Antonio Spurs,5,2004-05,26.9(26.9),0.0(0.0),0.0(0.0),3.0(3.0),0.0(0.0),0.0(0.0),20.6(20.6),9.2(9.2),17.9(17.9),12.9(12.9)
Kenny Thomas,Sacramento Kings,7,2004-05,8.7(8.7),0.0(0.0),22.4(22.4),4.2(4.2),0.0(0.0),0.0(0.0),25.9(25.9),13.7(13.7),9.2(9.2),10.0(10.0)
Kobe Bryant,Los Angeles Lakers,12,2004-05,10.9(10.9),17.2(17.2),34.6(34.6),11.4(11.4),3.3(3.3),3.0(3.0),7.4(7.4),0.0(0.0),2.9(2.9),3.0(3.0)
Brendan Haywood,Washington Wizards,10,2004-05,41.2(41.2),0.0(0.0),2.3(2.3),7.1(7.1),0.0(0.0),0.0(0.0),3.1(3.1),4.6(4.6),14.8(14.8),19.2(19.2)
Kevin Garnett,Minnesota Timberwolves,10,2004-05,39.1(39.1),0.0(0.0),15.4(15.4),6.1(6.1),1.7(1.7),0.0(0.0),12.1(12.1),7.7(7.7),5.9(5.9),6.0(6.0)
Chris Bosh,Toronto Raptors,5,2004-05,31.3(31.3),0.0(0.0),15.3(15.3),8.3(8.3),0.8(0.8),0.0(0.0),15.4(15.4),10.8(10.8),5.4(5.4),6.3(6.3)
Tom Gugliotta,Atlanta Hawks,7,2004-05,4.8(4.8),0.0(0.0),13.9(13.9),0.0(0.0),0.0(0.0),0.0(0.0),41.6(41.6),12.1(12.1),7.8(7.8),0.0(0.0)
Raef LaFrentz,Boston Celtics,7,2004-05,4.3(4.3),0.0(0.0),4.1(4.1),13.7(13.7),0.0(0.0),0.0(0.0),31.9(31.9),9.4(9.4),18.6(18.6),11.5(11.5)
Marcus Camby,Denver Nuggets,2,2004-05,3.0(3.0),0.0(0.0),13.2(13.2),13.0(13.0),2.1(2.1),0.0(0.0),29.0(29.0),7.3(7.3),12.7(12.7),11.1(11.1)
Boris Diaw,Atlanta Hawks,2,2004-05,8.5(8.5),9.8(9.8),13.7(13.7),10.4(10.4),4.0(4.0),0.0(0.0),26.5(26.5),0.0(0.0),9.1(9.1),4.9(4.9)
Mickael Pietrus,Golden State Warriors,2,2004-05,3.1(3.1),7.3(7.3),16.4(16.4),15.1(15.1),6.9(6.9),5.1(5.1),27.7(27.7),0.0(0.0),7.8(7.8),4.4(4.4)
Chris Kaman,Los Angeles Clippers,10,2004-05,38.9(38.9),0.0(0.0),7.7(7.7),5.7(5.7),0.0(0.0),0.0(0.0),10.5(10.5),5.5(5.5),10.9(10.9),13.6(13.6)
Tony Battie,Orlando Magic,5,2004-05,23.7(23.7),0.0(0.0),2.6(2.6),7.1(7.1),0.0(0.0),0.0(0.0),21.9(21.9),13.5(13.5),12.4(12.4),9.2(9.2)
Jerry Stackhouse,Dallas Mavericks,12,2004-05,15.9(15.9),6.8(6.8),20.9(20.9),17.2(17.2),4.4(4.4),0.0(0.0),18.1(18.1),0.0(0.0),4.1(4.1),0.0(0.0)
Gerald Wallace,Charlotte Hornets,2,2004-05,0.0(0.0),4.8(4.8),21.3(21.3),16.6(16.6),11.9(11.9),0.0(0.0),25.2(25.2),0.0(0.0),4.4(4.4),6.5(6.5)
Kevin Willis,Atlanta Hawks,5,2004-05,34.6(34.6),0.0(0.0),0.0(0.0),12.3(12.3),0.0(0.0),0.0(0.0),16.0(16.0),0.0(0.0),14.8(14.8),13.6(13.6)
Yao Ming,Houston Rockets,10,2004-05,60.1(60.1),0.0(0.0),0.0(0.0),2.9(2.9),0.0(0.0),0.0(0.0),3.5(3.5),5.3(5.3),11.0(11.0),11.1(11.1)
Zydrunas Ilgauskas,Cleveland Cavaliers,5,2004-05,35.6(35.6),0.0(0.0),3.3(3.3),4.2(4.2),0.0(0.0),0.0(0.0),13.5(13.5),11.9(11.9),10.4(10.4),15.0(15.0)
Greg Buckner,Denver Nuggets,2,2004-05,0.0(0.0),0.0(0.0),5.4(5.4),18.4(18.4),4.3(4.3),0.0(0.0),34.4(34.4),0.0(0.0),17.7(17.7),5.0(5.0)
Eddy Curry,Chicago Bulls,10,2004-05,51.6(51.6),0.0(0.0),3.1(3.1),5.7(5.7),0.0(0.0),0.0(0.0),2.8(2.8),6.9(6.9),16.9(16.9),7.7(7.7)
Tim Duncan,San Antonio Spurs,10,2004-05,43.9(43.9),0.0(0.0),10.8(10.8),5.0(5.0),0.0(0.0),0.0(0.0),9.8(9.8),10.0(10.0),8.7(8.7),7.4(7.4)
LeBron James,Cleveland Cavaliers,12,2004-05,7.0(7.0),18.4(18.4),23.8(23.8),18.6(18.6),8.6(8.6),1.6(1.6),8.7(8.7),0.0(0.0),4.3(4.3),2.9(2.9)
Eric Williams,Brooklyn Nets,5,2004-05,26.7(26.7),0.0(0.0),10.5(10.5),0.0(0.0),0.0(0.0),0.0(0.0),36.0(36.0),0.0(0.0),9.9(9.9),0.0(0.0)
Shandon Anderson,Miami Heat,2,2004-05,4.4(4.4),0.0(0.0),4.0(4.0),16.3(16.3),0.0(0.0),0.0(0.0),35.3(35.3),0.0(0.0),20.2(20.2),7.5(7.5)
Viktor Khryapa,Portland Trail Blazers,2,2004-05,0.0(0.0),0.0(0.0),10.0(10.0),18.8(18.8),0.0(0.0),0.0(0.0),30.6(30.6),0.0(0.0),13.8(13.8),6.9(6.9)
Quinton Ross,Los Angeles Clippers,4,2004-05,0.0(0.0),3.9(3.9),13.6(13.6),15.0(15.0),4.7(4.7),3.3(3.3),36.7(36.7),0.0(0.0),7.5(7.5),6.4(6.4)
Jason Collier,Atlanta Hawks,7,2004-05,16.7(16.7),0.0(0.0),6.1(6.1),5.3(5.3),0.0(0.0),0.0(0.0),26.3(26.3),17.2(17.2),12.5(12.5),10.6(10.6)
Wally Szczerbiak,Minnesota Timberwolves,2,2004-05,8.5(8.5),4.8(4.8),9.6(9.6),17.4(17.4),10.1(10.1),1.3(1.3),29.0(29.0),1.6(1.6),7.2(7.2),4.1(4.1)
Al Harrington,Atlanta Hawks,5,2004-05,34.0(34.0),1.0(1.0),14.9(14.9),13.4(13.4),1.3(1.3),0.0(0.0),12.6(12.6),2.3(2.3),7.0(7.0),8.7(8.7)
Eduardo Najera,Golden State Warriors,2,2004-05,0.0(0.0),0.0(0.0),11.0(11.0),16.5(16.5),0.0(0.0),0.0(0.0),28.4(28.4),0.0(0.0),9.2(9.2),11.0(11.0)
Juan Dixon,Washington Wizards,12,2004-05,0.0(0.0),18.4(18.4),18.6(18.6),15.5(15.5),7.1(7.1),4.6(4.6),20.8(20.8),0.0(0.0),2.2(2.2),3.1(3.1)
Reggie Miller,Indiana Pacers,0,2004-05,3.5(3.5),9.1(9.1),16.2(16.2),9.7(9.7),29.2(29.2),2.1(2.1),18.3(18.3),1.3(1.3),1.3(1.3),0.0(0.0)
Tony Delk,Atlanta Hawks,0,2004-05,0.0(0.0),9.3(9.3),17.6(17.6),17.3(17.3),17.1(17.1),0.0(0.0),29.2(29.2),0.0(0.0),2.4(2.4),0.0(0.0)
Mark Blount,Boston Celtics,5,2004-05,23.2(23.2),0.0(0.0),4.8(4.8),6.8(6.8),0.0(0.0),0.0(0.0),23.7(23.7),10.6(10.6),12.4(12.4),11.2(11.2)
Erick Dampier,Dallas Mavericks,11,2004-05,28.2(28.2),0.0(0.0),0.0(0.0),3.4(3.4),0.0(0.0),0.0(0.0),3.6(3.6),14.5(14.5),23.0(23.0),17.6(17.6)
Pau Gasol,Memphis Grizzlies,10,2004-05,45.8(45.8),0.0(0.0),11.1(11.1),6.4(6.4),0.0(0.0),0.0(0.0),9.2(9.2),3.9(3.9),12.8(12.8),6.3(6.3)
Mike Sweetney,New York Knicks,11,2004-05,36.5(36.5),0.0(0.0),1.9(1.9),6.5(6.5),0.0(0.0),0.0(0.0),6.7(6.7),4.7(4.7),19.4(19.4),18.4(18.4)
Tayshaun Prince,Detroit Pistons,2,2004-05,14.1(14.1),5.1(5.1),19.7(19.7),14.7(14.7),7.1(7.1),0.0(0.0),20.9(20.9),0.0(0.0),7.5(7.5),5.3(5.3)
Desmond Mason,Milwaukee Bucks,12,2004-05,18.1(18.1),5.2(5.2),23.5(23.5),11.4(11.4),4.2(4.2),2.2(2.2),15.8(15.8),1.0(1.0),9.2(9.2),3.8(3.8)
Predrag Drobnjak,Atlanta Hawks,7,2004-05,7.6(7.6),0.0(0.0),7.8(7.8),8.9(8.9),0.0(0.0),0.0(0.0),39.7(39.7),14.3(14.3),8.2(8.2),6.7(6.7)
Chris Webber,Sacramento Kings,5,2004-05,23.3(23.3),1.1(1.1),16.1(16.1),7.7(7.7),1.9(1.9),0.0(0.0),23.7(23.7),10.4(10.4),5.9(5.9),4.8(4.8)
Drew Gooden,Cleveland Cavaliers,5,2004-05,22.8(22.8),0.0(0.0),9.0(9.0),9.8(9.8),0.0(0.0),0.0(0.0),15.8(15.8),11.4(11.4),14.7(14.7),9.6(9.6)
Beno Udrih,San Antonio Spurs,8,2004-05,0.0(0.0),20.2(20.2),8.9(8.9),15.3(15.3),3.3(3.3),4.5(4.5),32.7(32.7),0.0(0.0),7.5(7.5),0.0(0.0)
Carlos Boozer,Utah Jazz,5,2004-05,32.6(32.6),0.0(0.0),9.0(9.0),9.4(9.4),1.8(1.8),0.0(0.0),13.2(13.2),8.0(8.0),11.2(11.2),8.9(8.9)
Shane Battier,Memphis Grizzlies,7,2004-05,16.1(16.1),2.9(2.9),9.3(9.3),6.1(6.1),3.8(3.8),0.0(0.0),30.4(30.4),4.1(4.1),6.3(6.3),8.9(8.9)
Emeka Okafor,Charlotte Hornets,5,2004-05,32.7(32.7),0.0(0.0),3.9(3.9),8.2(8.2),0.0(0.0),0.0(0.0),21.9(21.9),4.3(4.3),11.0(11.0),14.5(14.5)
Bonzi Wells,Memphis Grizzlies,2,2004-05,11.0(11.0),3.0(3.0),13.3(13.3),14.7(14.7),11.7(11.7),0.0(0.0),25.3(25.3),0.0(0.0),7.7(7.7),4.0(4.0)
Eric Piatkowski,Chicago Bulls,0,2004-05,0.0(0.0),6.5(6.5),10.2(10.2),15.4(15.4),22.8(22.8),0.0(0.0),32.9(32.9),0.0(0.0),4.5(4.5),0.0(0.0)
Jalen Rose,Toronto Raptors,12,2004-05,21.8(21.8),5.2(5.2),22.4(22.4),13.8(13.8),7.0(7.0),0.0(0.0),19.7(19.7),1.0(1.0),0.9(0.9),2.3(2.3)
DeShawn Stevenson,Orlando Magic,8,2004-05,0.0(0.0),16.4(16.4),17.6(17.6),18.7(18.7),5.0(5.0),2.7(2.7),25.8(25.8),0.0(0.0),5.2(5.2),4.2(4.2)
Brandon Hunter,Orlando Magic,10,2004-05,35.4(35.4),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),10.1(10.1),0.0(0.0),14.1(14.1),12.1(12.1)
Corliss Williamson,Sacramento Kings,5,2004-05,25.9(25.9),0.0(0.0),15.9(15.9),9.5(9.5),0.0(0.0),0.0(0.0),11.4(11.4),5.5(5.5),14.1(14.1),9.5(9.5)
Mike Bibby,Sacramento Kings,8,2004-05,0.0(0.0),25.6(25.6),11.6(11.6),16.8(16.8),8.2(8.2),10.4(10.4),15.5(15.5),0.0(0.0),4.2(4.2),1.2(1.2)
Delonte West,Boston Celtics,2,2004-05,0.0(0.0),11.3(11.3),11.8(11.8),24.7(24.7),0.0(0.0),0.0(0.0),28.5(28.5),0.0(0.0),9.1(9.1),0.0(0.0)
Elton Brand,Los Angeles Clippers,5,2004-05,29.5(29.5),0.0(0.0),13.3(13.3),9.0(9.0),0.0(0.0),0.0(0.0),13.4(13.4),10.7(10.7),8.2(8.2),9.8(9.8)
Joe Smith,Milwaukee Bucks,9,2004-05,10.6(10.6),0.0(0.0),9.1(9.1),4.1(4.1),2.2(2.2),0.0(0.0),23.2(23.2),10.6(10.6),20.1(20.1),11.5(11.5)
Austin Croshere,Indiana Pacers,7,2004-05,7.2(7.2),0.0(0.0),15.3(15.3),7.2(7.2),0.0(0.0),0.0(0.0),34.9(34.9),13.6(13.6),7.8(7.8),6.2(6.2)
Donyell Marshall,Toronto Raptors,7,2004-05,4.4(4.4),0.0(0.0),0.0(0.0),13.0(13.0),1.7(1.7),0.0(0.0),42.9(42.9),14.2(14.2),8.9(8.9),7.7(7.7)
Jason Kidd,Brooklyn Nets,2,2004-05,8.0(8.0),10.6(10.6),10.8(10.8),22.1(22.1),3.6(3.6),5.5(5.5),26.6(26.6),0.0(0.0),2.6(2.6),1.7(1.7)
Joe Johnson,Phoenix Suns,8,2004-05,4.5(4.5),22.1(22.1),14.9(14.9),18.9(18.9),3.3(3.3),1.8(1.8),20.3(20.3),0.0(0.0),2.5(2.5),4.0(4.0)
Adonal Foyle,Golden State Warriors,11,2004-05,27.3(27.3),0.0(0.0),0.0(0.0),5.2(5.2),0.0(0.0),0.0(0.0),7.1(7.1),12.7(12.7),22.8(22.8),16.5(16.5)
Richard Hamilton,Detroit Pistons,12,2004-05,4.1(4.1),6.8(6.8),20.2(20.2),16.1(16.1),20.1(20.1),3.5(3.5),15.0(15.0),0.0(0.0),5.4(5.4),1.7(1.7)
Kelvin Cato,Orlando Magic,6,2004-05,13.9(13.9),0.0(0.0),4.3(4.3),7.5(7.5),0.0(0.0),0.0(0.0),13.0(13.0),11.8(11.8),32.1(32.1),11.0(11.0)
Manu Ginobili,San Antonio Spurs,8,2004-05,1.6(1.6),19.1(19.1),12.3(12.3),12.9(12.9),6.2(6.2),4.8(4.8),29.0(29.0),0.0(0.0),4.3(4.3),2.6(2.6)
Paul Pierce,Boston Celtics,12,2004-05,12.8(12.8),11.8(11.8),23.7(23.7),13.3(13.3),8.8(8.8),1.9(1.9),14.7(14.7),0.0(0.0),3.4(3.4),2.3(2.3)
Lamar Odom,Los Angeles Lakers,12,2004-05,14.0(14.0),0.0(0.0),33.4(33.4),9.3(9.3),1.9(1.9),1.5(1.5),16.0(16.0),4.5(4.5),7.2(7.2),6.4(6.4)
Chris Andersen,New Orleans Pelicans,11,2004-05,16.3(16.3),0.0(0.0),11.5(11.5),7.8(7.8),0.0(0.0),0.0(0.0),15.1(15.1),6.3(6.3),21.7(21.7),16.1(16.1)
Dan Dickau,New Orleans Pelicans,8,2004-05,0.0(0.0),28.5(28.5),15.3(15.3),19.1(19.1),4.4(4.4),7.1(7.1),16.0(16.0),0.0(0.0),2.8(2.8),0.0(0.0)
Kenny Thomas,Philadelphia 76ers,7,2004-05,13.9(13.9),0.0(0.0),14.6(14.6),7.7(7.7),0.0(0.0),0.0(0.0),29.4(29.4),12.8(12.8),8.4(8.4),7.1(7.1)
Chris Mihm,Los Angeles Lakers,11,2004-05,34.0(34.0),0.0(0.0),2.3(2.3),7.5(7.5),0.0(0.0),0.0(0.0),5.8(5.8),9.0(9.0),18.1(18.1),17.2(17.2)
Rodney Rogers,New Orleans Pelicans,2,2004-05,12.3(12.3),0.0(0.0),19.5(19.5),9.0(9.0),3.0(3.0),0.0(0.0),28.4(28.4),4.5(4.5),8.4(8.4),3.6(3.6)
Stromile Swift,Memphis Grizzlies,5,2004-05,28.8(28.8),0.0(0.0),10.9(10.9),10.1(10.1),0.0(0.0),0.0(0.0),12.4(12.4),6.9(6.9),15.7(15.7),8.6(8.6)
Dirk Nowitzki,Dallas Mavericks,12,2004-05,12.3(12.3),4.1(4.1),25.5(25.5),11.5(11.5),7.8(7.8),1.0(1.0),21.6(21.6),5.6(5.6),1.4(1.4),2.4(2.4)
Alonzo Mourning,Brooklyn Nets,10,2004-05,44.2(44.2),0.0(0.0),8.8(8.8),0.0(0.0),0.0(0.0),0.0(0.0),13.3(13.3),0.0(0.0),16.8(16.8),0.0(0.0)
Francisco Elson,Denver Nuggets,9,2004-05,12.9(12.9),0.0(0.0),7.8(7.8),7.8(7.8),0.0(0.0),0.0(0.0),17.1(17.1),11.5(11.5),17.5(17.5),12.9(12.9)
Stanislav Medvedenko,Los Angeles Lakers,7,2004-05,7.4(7.4),0.0(0.0),18.2(18.2),7.4(7.4),0.0(0.0),0.0(0.0),26.7(26.7),11.4(11.4),10.8(10.8),10.2(10.2)
Rasheed Wallace,Detroit Pistons,5,2004-05,31.0(31.0),0.0(0.0),6.3(6.3),6.3(6.3),1.2(1.2),0.0(0.0),23.9(23.9),9.1(9.1),8.4(8.4),8.2(8.2)
Mike Dunleavy,Golden State Warriors,4,2004-05,4.3(4.3),7.1(7.1),7.7(7.7),19.3(19.3),8.0(8.0),1.9(1.9),33.7(33.7),0.0(0.0),6.4(6.4),4.0(4.0)
Allen Iverson,Philadelphia 76ers,3,2004-05,0.0(0.0),35.2(35.2),20.6(20.6),22.1(22.1),3.7(3.7),2.0(2.0),7.9(7.9),0.0(0.0),1.4(1.4),0.9(0.9)
Bob Sura,Houston Rockets,8,2004-05,0.0(0.0),18.0(18.0),15.9(15.9),6.5(6.5),0.0(0.0),0.0(0.0),30.8(30.8),0.0(0.0),4.3(4.3),1.9(1.9)
Bobby Simmons,Los Angeles Clippers,0,2004-05,4.4(4.4),3.6(3.6),12.2(12.2),9.5(9.5),16.2(16.2),1.7(1.7),35.0(35.0),1.8(1.8),3.0(3.0),4.9(4.9)
Eddie Jones,Miami Heat,0,2004-05,0.0(0.0),3.1(3.1),7.4(7.4),14.2(14.2),19.8(19.8),1.5(1.5),39.4(39.4),0.0(0.0),6.5(6.5),1.7(1.7)
Shareef Abdur-Rahim,Portland Trail Blazers,5,2004-05,25.4(25.4),0.0(0.0),9.8(9.8),8.3(8.3),0.0(0.0),0.0(0.0),21.1(21.1),9.5(9.5),10.6(10.6),9.9(9.9)
Earl Boykins,Denver Nuggets,3,2004-05,0.0(0.0),31.5(31.5),13.6(13.6),26.4(26.4),3.1(3.1),0.0(0.0),13.0(13.0),0.0(0.0),1.1(1.1),0.0(0.0)
Eric Williams,Toronto Raptors,5,2004-05,27.2(27.2),0.0(0.0),11.2(11.2),11.2(11.2),0.0(0.0),0.0(0.0),29.0(29.0),0.0(0.0),5.9(5.9),0.0(0.0)
Tracy McGrady,Houston Rockets,12,2004-05,10.3(10.3),25.8(25.8),23.1(23.1),10.1(10.1),9.9(9.9),0.9(0.9),11.2(11.2),0.0(0.0),2.8(2.8),1.9(1.9)
Andre Miller,Denver Nuggets,12,2004-05,8.7(8.7),19.4(19.4),20.7(20.7),23.8(23.8),1.7(1.7),0.0(0.0),8.7(8.7),0.0(0.0),5.7(5.7),2.9(2.9)
