Kevin Willis_1_Atlanta Hawks_0_2004-05,34.6,0.0,0.0,12.3,0.0,0.0,16.0,0.0,14.8,13.6
Yao Ming_1_Houston Rockets_0_2004-05,60.1,0.0,0.0,2.9,0.0,0.0,3.5,5.3,11.0,11.1
Zydrunas Ilgauskas_1_Cleveland Cavaliers_0_2004-05,35.6,0.0,3.3,4.2,0.0,0.0,13.5,11.9,10.4,15.0
Greg Buckner_1_Denver Nuggets_0_2004-05,0.0,0.0,5.4,18.4,4.3,0.0,34.4,0.0,17.7,5.0
Eddy Curry_1_Chicago Bulls_0_2004-05,51.6,0.0,3.1,5.7,0.0,0.0,2.8,6.9,16.9,7.7
Tim Duncan_1_San Antonio Spurs_0_2004-05,43.9,0.0,10.8,5.0,0.0,0.0,9.8,10.0,8.7,7.4
LeBron James_1_Cleveland Cavaliers_0_2004-05,7.0,18.4,23.8,18.6,8.6,1.6,8.7,0.0,4.3,2.9
Eric Williams_1_Brooklyn Nets_0_2004-05,26.7,0.0,10.5,0.0,0.0,0.0,36.0,0.0,9.9,0.0
Shandon Anderson_1_Miami Heat_0_2004-05,4.4,0.0,4.0,16.3,0.0,0.0,35.3,0.0,20.2,7.5
Viktor Khryapa_1_Portland Trail Blazers_0_2004-05,0.0,0.0,10.0,18.8,0.0,0.0,30.6,0.0,13.8,6.9
Quinton Ross_1_Los Angeles Clippers_0_2004-05,0.0,3.9,13.6,15.0,4.7,3.3,36.7,0.0,7.5,6.4
Jason Collier_1_Atlanta Hawks_0_2004-05,16.7,0.0,6.1,5.3,0.0,0.0,26.3,17.2,12.5,10.6
Wally Szczerbiak_1_Minnesota Timberwolves_0_2004-05,8.5,4.8,9.6,17.4,10.1,1.3,29.0,1.6,7.2,4.1
Al Harrington_1_Atlanta Hawks_0_2004-05,34.0,1.0,14.9,13.4,1.3,0.0,12.6,2.3,7.0,8.7
Eduardo Najera_1_Golden State Warriors_0_2004-05,0.0,0.0,11.0,16.5,0.0,0.0,28.4,0.0,9.2,11.0
Juan Dixon_1_Washington Wizards_0_2004-05,0.0,18.4,18.6,15.5,7.1,4.6,20.8,0.0,2.2,3.1
Reggie Miller_1_Indiana Pacers_0_2004-05,3.5,9.1,16.2,9.7,29.2,2.1,18.3,1.3,1.3,0.0
Tony Delk_1_Atlanta Hawks_0_2004-05,0.0,9.3,17.6,17.3,17.1,0.0,29.2,0.0,2.4,0.0
Mark Blount_1_Boston Celtics_0_2004-05,23.2,0.0,4.8,6.8,0.0,0.0,23.7,10.6,12.4,11.2
Erick Dampier_1_Dallas Mavericks_0_2004-05,28.2,0.0,0.0,3.4,0.0,0.0,3.6,14.5,23.0,17.6
Pau Gasol_1_Memphis Grizzlies_0_2004-05,45.8,0.0,11.1,6.4,0.0,0.0,9.2,3.9,12.8,6.3
Mike Sweetney_1_New York Knicks_0_2004-05,36.5,0.0,1.9,6.5,0.0,0.0,6.7,4.7,19.4,18.4
Tayshaun Prince_1_Detroit Pistons_0_2004-05,14.1,5.1,19.7,14.7,7.1,0.0,20.9,0.0,7.5,5.3
Desmond Mason_1_Milwaukee Bucks_0_2004-05,18.1,5.2,23.5,11.4,4.2,2.2,15.8,1.0,9.2,3.8
Predrag Drobnjak_1_Atlanta Hawks_0_2004-05,7.6,0.0,7.8,8.9,0.0,0.0,39.7,14.3,8.2,6.7
Chris Webber_1_Sacramento Kings_0_2004-05,23.3,1.1,16.1,7.7,1.9,0.0,23.7,10.4,5.9,4.8
Drew Gooden_1_Cleveland Cavaliers_0_2004-05,22.8,0.0,9.0,9.8,0.0,0.0,15.8,11.4,14.7,9.6
Beno Udrih_1_San Antonio Spurs_0_2004-05,0.0,20.2,8.9,15.3,3.3,4.5,32.7,0.0,7.5,0.0
Carlos Boozer_1_Utah Jazz_0_2004-05,32.6,0.0,9.0,9.4,1.8,0.0,13.2,8.0,11.2,8.9
Shane Battier_1_Memphis Grizzlies_0_2004-05,16.1,2.9,9.3,6.1,3.8,0.0,30.4,4.1,6.3,8.9
Emeka Okafor_1_Charlotte Hornets_0_2004-05,32.7,0.0,3.9,8.2,0.0,0.0,21.9,4.3,11.0,14.5
Bonzi Wells_1_Memphis Grizzlies_0_2004-05,11.0,3.0,13.3,14.7,11.7,0.0,25.3,0.0,7.7,4.0
Eric Piatkowski_1_Chicago Bulls_0_2004-05,0.0,6.5,10.2,15.4,22.8,0.0,32.9,0.0,4.5,0.0
Jalen Rose_1_Toronto Raptors_0_2004-05,21.8,5.2,22.4,13.8,7.0,0.0,19.7,1.0,0.9,2.3
DeShawn Stevenson_1_Orlando Magic_0_2004-05,0.0,16.4,17.6,18.7,5.0,2.7,25.8,0.0,5.2,4.2
Brandon Hunter_1_Orlando Magic_0_2004-05,35.4,0.0,0.0,0.0,0.0,0.0,10.1,0.0,14.1,12.1
Corliss Williamson_1_Sacramento Kings_0_2004-05,25.9,0.0,15.9,9.5,0.0,0.0,11.4,5.5,14.1,9.5
Mike Bibby_1_Sacramento Kings_0_2004-05,0.0,25.6,11.6,16.8,8.2,10.4,15.5,0.0,4.2,1.2
Delonte West_1_Boston Celtics_0_2004-05,0.0,11.3,11.8,24.7,0.0,0.0,28.5,0.0,9.1,0.0
Elton Brand_1_Los Angeles Clippers_0_2004-05,29.5,0.0,13.3,9.0,0.0,0.0,13.4,10.7,8.2,9.8
Joe Smith_1_Milwaukee Bucks_0_2004-05,10.6,0.0,9.1,4.1,2.2,0.0,23.2,10.6,20.1,11.5
Austin Croshere_1_Indiana Pacers_0_2004-05,7.2,0.0,15.3,7.2,0.0,0.0,34.9,13.6,7.8,6.2
Donyell Marshall_1_Toronto Raptors_0_2004-05,4.4,0.0,0.0,13.0,1.7,0.0,42.9,14.2,8.9,7.7
Jason Kidd_1_Brooklyn Nets_0_2004-05,8.0,10.6,10.8,22.1,3.6,5.5,26.6,0.0,2.6,1.7
Joe Johnson_1_Phoenix Suns_0_2004-05,4.5,22.1,14.9,18.9,3.3,1.8,20.3,0.0,2.5,4.0
Adonal Foyle_1_Golden State Warriors_0_2004-05,27.3,0.0,0.0,5.2,0.0,0.0,7.1,12.7,22.8,16.5
Richard Hamilton_1_Detroit Pistons_0_2004-05,4.1,6.8,20.2,16.1,20.1,3.5,15.0,0.0,5.4,1.7
