PLAYER_NAME,Freq,eFG%,TO%,PtsPerPoss,Score%,PPPRank
Michael Carter-Williams,2.94,40.0,4.35,0.74,39.13,25.0
Michael Beasley,7.17,64.71,0.0,1.28,66.67,261.0
Marcin Gortat,10.73,53.85,6.67,1.01,51.43,127.0
Luol Deng,6.92,64.81,1.59,1.35,66.67,279.0
Gary Harris,1.97,60.71,11.11,1.11,55.56,188.0
Draymond Green,7.05,46.84,0.0,0.97,50.0,103.0
Elfrid Payton,4.07,68.75,10.0,1.27,62.5,260.0
Jared Sullinger,12.51,54.9,5.69,1.08,56.91,164.0
George Hill,2.44,63.16,0.0,1.32,63.64,273.0
Trey Burke,0,0,0,0,0,0
CJ Miles,2.37,38.46,0.0,1.06,55.56,149.0
Tony Parker,0,0,0,0,0,0
Mirza Teletovic,3.98,65.71,2.7,1.35,64.86,280.0
Dennis Schroder,0,0,0,0,0,0
Kent Bazemore,1.51,46.15,0.0,1.0,50.0,107.0
Otto Porter,7.14,61.76,5.0,1.18,60.0,225.0
Jose Juan Barea,0,0,0,0,0,0
Harrison Barnes,3.61,52.38,7.41,1.15,55.56,205.0
Bojan Bogdanovic,1.84,69.23,11.76,1.24,58.82,250.0
Isaiah Canaan,0,0,0,0,0,0
TJ Warren,8.95,47.62,0.0,1.0,51.11,107.0
Marco Belinelli,0,0,0,0,0,0
Kenneth Faried,21.25,52.63,4.05,1.05,53.18,147.0
Evan Turner,2.3,42.11,8.7,0.83,43.48,48.0
Jeremy Lin,0,0,0,0,0,0
Hassan Whiteside,20.46,63.95,7.14,1.19,62.76,227.0
Nikola Mirotic,4.55,66.67,0.0,1.36,69.44,282.0
Marvin Williams,9.02,55.07,6.33,1.08,53.16,160.0
Matt Barnes,6.22,50.0,7.41,1.02,48.15,130.0
Dion Waiters,1.12,50.0,0.0,1.0,50.0,107.0
Omri Casspi,4.55,54.55,2.78,1.17,55.56,212.0
Ersan Ilyasova,21.51,39.39,5.0,0.82,45.0,47.0
Jonas Valanciunas,20.25,48.39,2.08,1.01,52.08,128.0
Marcus Thornton,3.4,60.0,0.0,1.29,64.71,268.0
Myles Turner,6.8,59.46,2.27,1.25,63.64,252.0
Hollis Thompson,4.18,48.28,9.09,0.91,42.42,69.0
Al-Farouq Aminu,5.78,58.75,7.69,1.13,55.77,201.0
Nerlens Noel,12.79,58.82,7.34,1.08,55.05,165.0
Sean Kilpatrick,0,0,0,0,0,0
