PLAYER_NAME,DRIVE,CATCH_SHOOT,PULL_UP,PAINT_TOUCH,POST_TOUCH,ELBOW_TOUCH,FG3A
Nik Stauskas,0.25,0.41,0.15,0.01,0.04,0.01,0.6
Wayne Ellington,0.05,0.43,0.3,0.04,0.03,0.06,0.48
Gerald Henderson,0.11,0.28,0.3,0.03,0.07,0.03,0.26
Mo Williams,0.07,0.28,0.48,0.0,0.0,0.01,0.34
Archie Goodwin,0.39,0.09,0.1,0.04,0.06,0.02,0.23
Tony Allen,0.19,0.14,0.04,0.12,0.14,0.04,0.09
Terrence Jones,0.14,0.17,0.03,0.21,0.23,0.05,0.22
Mario Chalmers,0.36,0.17,0.15,0.03,0.02,0.01,0.34
Cory Joseph,0.47,0.14,0.2,0.02,0.02,0.04,0.19
Tim Duncan,0.03,0.09,0.06,0.43,0.49,0.12,0.01
Toney Douglas,0.17,0.24,0.34,0.03,0.03,0.01,0.45
Ramon Sessions,0.37,0.13,0.12,0.04,0.04,0.04,0.19
Meyers Leonard,0.02,0.65,0.11,0.07,0.08,0.06,0.52
Langston Galloway,0.14,0.37,0.16,0.03,0.04,0.03,0.38
PJ Tucker,0.13,0.33,0.05,0.09,0.13,0.01,0.35
Danny Green,0.07,0.61,0.11,0.07,0.07,0.01,0.62
Gorgui Dieng,0.03,0.19,0.06,0.37,0.37,0.13,0.04
Derrick Williams,0.18,0.2,0.12,0.18,0.19,0.08,0.27
Bobby Portis,0.04,0.29,0.07,0.19,0.2,0.04,0.12
Darrell Arthur,0.03,0.55,0.09,0.13,0.17,0.09,0.24
Jon Leuer,0.12,0.33,0.07,0.15,0.19,0.11,0.24
Carl Landry,0.03,0.33,0.03,0.24,0.32,0.05,0.05
Nick Young,0.04,0.38,0.4,0.01,0.01,0.03,0.64
Lance Stephenson,0.37,0.11,0.24,0.06,0.06,0.02,0.17
Taj Gibson,0.01,0.15,0.02,0.38,0.44,0.09,0.01
Aaron Brooks,0.39,0.21,0.32,0.0,0.0,0.01,0.39
Nene,0.05,0.13,0.04,0.35,0.41,0.1,0.01
Tyler Johnson,0.31,0.32,0.13,0.08,0.07,0.03,0.29
Matthew Dellavedova,0.17,0.44,0.27,0.03,0.03,0.01,0.47
