PLAYER_NAME,Transition,Isolation,PRBallHandler,PRRollman,Postup,Spotup,Handoff,Cut,OffScreen,OffRebound
Eric Gordon,16.25,6.94,26.44,0,0,27.62,6.65,1.48,11.08,0
Will Barton,22.27,7.42,23.98,0,0.82,22.59,7.01,4.0,3.18,3.26
D'Angelo Russell,15.78,5.91,38.27,0,6.15,15.45,4.53,3.88,2.91,2.02
Greg Monroe,5.4,5.15,0,10.81,33.83,6.23,0,17.62,1.08,14.13
Deron Williams,10.45,11.05,27.61,0,8.58,16.67,5.82,1.78,11.54,0
Jamal Crawford,11.85,22.4,29.61,0,0,18.03,8.76,0,3.35,0.94
Marcus Morris,11.01,14.6,12.26,4.25,13.76,22.69,3.34,2.0,4.84,4.34
Jabari Parker,18.19,9.14,6.0,4.93,7.08,22.49,1.79,17.2,2.42,6.27
Evan Fournier,16.01,5.05,21.83,0,0,24.83,8.65,4.45,12.59,1.46
JJ Redick,12.18,2.49,5.47,0,0,16.59,18.5,1.44,38.73,0
Zach LaVine,21.52,8.21,29.06,0,0,14.07,10.72,1.93,7.29,1.42
Tobias Harris,12.05,10.84,8.68,6.32,8.43,26.75,3.09,3.13,2.41,4.34
Devin Booker,18.61,6.17,26.81,0,3.26,11.38,7.23,4.06,13.32,1.06
Arron Afflalo,13.18,8.79,8.04,0,16.93,23.37,6.97,3.32,14.9,0
Markieff Morris,6.94,5.38,2.31,15.86,15.86,14.77,0,5.95,6.8,4.8
Jarrett Jack,10.93,10.12,43.93,0,0,18.42,4.66,0,2.83,0
Serge Ibaka,12.44,1.75,0,26.92,3.01,29.83,0,10.01,2.04,6.9
Jae Crowder,20.7,2.1,7.3,3.8,3.5,33.0,6.5,5.6,7.4,3.5
J.R. Smith,15.3,12.75,7.86,0,1.28,33.69,4.57,1.81,16.58,0
Wesley Matthews,10.91,5.76,9.19,1.31,9.9,36.16,6.57,2.73,11.92,1.11
Rajon Rondo,19.81,7.39,39.26,0,0,15.4,2.38,3.79,0,2.46
Alec Burks,15.54,11.71,31.53,0,0,21.4,7.66,3.6,0,0
Norris Cole,16.92,3.76,47.69,0,0,16.41,7.01,0,0,0
Al Jefferson,1.87,0,0,16.87,51.79,4.77,0,13.8,0,5.79
Chandler Parsons,15.51,7.69,18.61,1.24,3.1,28.16,4.96,5.58,9.06,1.61
Robert Covington,20.02,4.11,4.55,5.52,0,37.23,8.12,3.46,4.87,3.9
Joe Johnson,9.09,11.36,27.27,0,10.71,25.97,1.95,0,4.87,1.43
Trevor Ariza,24.02,3.84,7.11,1.34,0,40.35,3.94,3.46,8.36,3.07
