PLAYER_NAME,FT_AST,SECONDARY,POTENTIAL,PASSES,AST,AST_ADJ,AST_PCT,ADJ_AST_PCT
Jeremy Lamb,0.2,0.4,2.7,18.0,1.2,1.7,0.07,0.1
Ricky Rubio,1.1,1.4,15.5,61.9,8.6,11.2,0.14,0.18
Austin Rivers,0.1,0.5,3.2,27.0,1.5,2.1,0.06,0.08
Kyle Korver,0.2,0.6,3.5,23.6,2.1,2.8,0.09,0.12
Rodney Stuckey,0.3,0.5,5.2,23.8,2.4,3.2,0.1,0.13
Patty Mills,0.2,0.8,4.7,36.6,2.8,3.8,0.08,0.1
Jusuf Nurkic,0.2,0.3,2.3,23.8,1.3,1.7,0.05,0.07
Kevin Martin,0.1,0.4,2.3,15.8,1.1,1.5,0.07,0.1
Jordan Hill,0.2,0.2,2.8,28.4,1.2,1.6,0.04,0.06
Nikola Jokic,0.2,0.3,4.2,32.3,2.4,2.9,0.07,0.09
Aaron Gordon,0.2,0.4,2.8,29.1,1.7,2.2,0.06,0.08
Manu Ginobili,0.4,0.9,5.3,27.3,3.1,4.3,0.11,0.16
Nik Stauskas,0.3,0.4,4.1,26.8,1.9,2.6,0.07,0.1
Wayne Ellington,0.1,0.4,2.1,15.7,1.1,1.6,0.07,0.1
Gerald Henderson,0.1,0.3,2.0,15.2,1.0,1.5,0.07,0.1
Mo Williams,0.3,0.6,4.7,31.9,2.4,3.3,0.08,0.11
Archie Goodwin,0.2,0.6,3.9,29.0,2.1,2.9,0.07,0.1
Tony Allen,0.2,0.3,2.3,20.1,1.1,1.5,0.05,0.08
Terrence Jones,0.1,0.3,1.6,23.8,0.8,1.2,0.03,0.05
Mario Chalmers,0.4,0.9,7.2,40.9,3.8,5.0,0.09,0.12
Cory Joseph,0.2,0.7,6.7,46.3,3.1,4.1,0.07,0.09
Tim Duncan,0.2,0.4,4.3,34.1,2.7,3.3,0.08,0.1
Toney Douglas,0.1,0.4,5.1,31.2,2.6,3.1,0.08,0.1
Ramon Sessions,0.4,0.5,5.7,30.8,2.9,3.8,0.1,0.12
Meyers Leonard,0.2,0.3,3.1,29.7,1.5,2.0,0.05,0.07
Langston Galloway,0.3,0.7,5.0,36.9,2.5,3.5,0.07,0.1
PJ Tucker,0.3,0.6,4.2,31.4,2.2,3.0,0.07,0.1
Danny Green,0.1,0.8,3.5,33.3,1.8,2.7,0.05,0.08
Gorgui Dieng,0.2,0.3,3.1,28.9,1.7,2.3,0.06,0.08
Derrick Williams,0.1,0.3,2.1,22.0,0.9,1.3,0.04,0.06
Bobby Portis,0.1,0.3,1.7,23.5,0.8,1.2,0.04,0.05
Darrell Arthur,0.2,0.2,2.4,24.7,1.4,1.7,0.06,0.07
Jon Leuer,0.0,0.3,2.2,26.8,1.1,1.5,0.04,0.06
Carl Landry,0.1,0.2,1.8,19.7,0.9,1.1,0.05,0.06
Nick Young,0.1,0.2,1.4,13.0,0.6,0.9,0.05,0.07
Lance Stephenson,0.2,0.4,3.9,18.6,1.9,2.6,0.1,0.14
Taj Gibson,0.1,0.5,2.9,26.8,1.5,2.1,0.05,0.08
Aaron Brooks,0.3,0.7,5.2,25.3,2.6,3.6,0.1,0.14
Nene,0.2,0.2,3.3,22.1,1.7,2.1,0.08,0.1
Tyler Johnson,0.2,0.5,4.4,36.4,2.2,2.9,0.06,0.08
Matthew Dellavedova,0.5,1.2,7.8,43.1,4.4,6.2,0.1,0.14
Corey Brewer,0.2,0.4,2.3,14.5,1.3,2.0,0.09,0.13
Ben McLemore,0.1,0.2,1.9,15.0,1.2,1.5,0.08,0.1
E'Twaun Moore,0.1,0.9,3.5,24.7,1.7,2.7,0.07,0.11
DeAndre Jordan,0.1,0.5,2.2,42.6,1.2,1.8,0.03,0.04
Jason Smith,0.1,0.1,1.6,20.5,0.8,1.0,0.04,0.05
Frank Kaminsky,0.2,0.3,2.5,35.3,1.2,1.6,0.03,0.05
Lance Thomas,0.1,0.2,2.3,23.7,0.9,1.3,0.04,0.05
Wesley Johnson,0.1,0.1,1.1,17.7,0.6,0.9,0.04,0.05
Joffrey Lauvergne,0.1,0.2,1.9,22.8,0.9,1.2,0.04,0.05
Shane Larkin,0.6,0.7,9.4,44.4,4.4,5.7,0.1,0.13
Josh Smith,0.2,0.4,3.2,21.9,1.6,2.2,0.08,0.1
Marreese Speights,0.1,0.2,1.5,15.5,0.8,1.1,0.06,0.07
JaMychal Green,0.2,0.1,1.9,22.5,0.9,1.2,0.04,0.05
Garrett Temple,0.1,0.5,3.6,22.5,1.8,2.4,0.08,0.11
