Andrea Fulignati,Palermo,2016-2017,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Ilija Nestorovski,Palermo,2016-2017,"defensive_0,passing_5,control_5,attack_5",0.6(0.13953488372093023),1.6(0.372093023255814),0.5(0.1388888888888889),0.0(0.0),1.7(0.33333333333333337)
Edoardo Goldaniga,Palermo,2016-2017,"defensive_2,passing_2,control_1,attack_3",0.0(0.0),0.3(0.06976744186046512),0.3(0.08333333333333333),0.0(0.0),0.0(0.0)
Mato Jajalo,Palermo,2016-2017,"defensive_0,passing_5,control_4,attack_1",1.0(0.23255813953488372),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.6(0.11764705882352941)
Robin Quaison,Palermo,2016-2017,"defensive_0,passing_5,control_0,attack_1",0.9(0.20930232558139536),0.9(0.20930232558139536),0.3(0.08333333333333333),0.0(0.0),1.6(0.3137254901960785)
Alessandro Gazzi,Palermo,2016-2017,"defensive_4,passing_2,control_2,attack_2",0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Ivaylo Chochev,Palermo,2014-2015,"defensive_4,passing_5,control_2,attack_5",0.2(0.04651162790697675),0.9(0.20930232558139536),0.5(0.1388888888888889),0.1(0.125),1.1(0.21568627450980396)
Francesco Bolzoni,Palermo,2014-2015,"defensive_4,passing_5,control_4,attack_2",0.2(0.04651162790697675),0.3(0.06976744186046512),0.1(0.02777777777777778),0.0(0.0),0.4(0.07843137254901962)
Andrea Rispoli,Palermo,2014-2015,"defensive_0,passing_0,control_4,attack_1",0.5(0.11627906976744186),0.5(0.11627906976744186),0.2(0.05555555555555556),0.1(0.125),1.0(0.19607843137254904)
Stefano Sorrentino,Palermo,2014-2015,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Luca Rigoni,Palermo,2014-2015,"defensive_4,passing_5,control_2,attack_1",0.3(0.06976744186046512),0.4(0.0930232558139535),0.2(0.05555555555555556),0.0(0.0),0.9(0.17647058823529413)
Andrea Belotti,Palermo,2014-2015,"defensive_0,passing_5,control_0,attack_5",0.7(0.1627906976744186),1.6(0.372093023255814),0.5(0.1388888888888889),0.0(0.0),2.6(0.5098039215686275)
Ezequiel Muñoz,Palermo,2014-2015,"defensive_3,passing_2,control_1,attack_2",0.0(0.0),0.2(0.04651162790697675),0.3(0.08333333333333333),0.0(0.0),0.0(0.0)
Franco Vázquez,Palermo,2014-2015,"defensive_0,passing_0,control_0,attack_4",1.5(0.3488372093023256),1.1(0.2558139534883721),0.2(0.05555555555555556),0.1(0.125),2.3(0.45098039215686275)
Sinisa Andjelkovic,Palermo,2014-2015,"defensive_3,passing_2,control_2,attack_2",0.0(0.0),0.2(0.04651162790697675),0.2(0.05555555555555556),0.0(0.0),0.0(0.0)
Michel Morganella,Palermo,2014-2015,"defensive_0,passing_5,control_4,attack_2",0.3(0.06976744186046512),0.3(0.06976744186046512),0.0(0.0),0.0(0.0),0.4(0.07843137254901962)
Edgar Barreto,Palermo,2014-2015,"defensive_4,passing_0,control_4,attack_1",1.1(0.2558139534883721),0.4(0.0930232558139535),0.3(0.08333333333333333),0.0(0.0),1.1(0.21568627450980396)
Claudio Terzi,Palermo,2014-2015,"defensive_3,passing_2,control_1,attack_2",0.0(0.0),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.0(0.0)
Achraf Lazaar,Palermo,2014-2015,"defensive_4,passing_5,control_4,attack_1",0.7(0.1627906976744186),0.5(0.11627906976744186),0.0(0.0),0.0(0.0),1.0(0.19607843137254904)
Giancarlo Gonzalez,Palermo,2014-2015,"defensive_3,passing_2,control_1,attack_3",0.0(0.0),0.4(0.0930232558139535),0.3(0.08333333333333333),0.0(0.0),0.1(0.019607843137254905)
Fabio Daprelà,Palermo,2014-2015,"defensive_0,passing_5,control_3,attack_2",0.1(0.023255813953488375),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.2(0.03921568627450981)
Paulo Dybala,Palermo,2014-2015,"defensive_0,passing_4,control_0,attack_0",1.3(0.3023255813953489),1.9(0.4418604651162791),0.2(0.05555555555555556),0.1(0.125),2.7(0.5294117647058825)
Enzo Maresca,Palermo,2014-2015,"defensive_4,passing_3,control_4,attack_2",0.6(0.13953488372093023),0.1(0.023255813953488375),0.2(0.05555555555555556),0.0(0.0),0.3(0.058823529411764705)
Mato Jajalo,Palermo,2014-2015,"defensive_4,passing_3,control_4,attack_1",1.0(0.23255813953488372),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.9(0.17647058823529413)
Robin Quaison,Palermo,2014-2015,"defensive_0,passing_0,control_0,attack_1",0.9(0.20930232558139536),0.9(0.20930232558139536),0.1(0.02777777777777778),0.1(0.125),1.5(0.29411764705882354)
Roberto Vitiello,Palermo,2014-2015,"defensive_2,passing_2,control_1,attack_2",0.1(0.023255813953488375),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.1(0.019607843137254905)
Alberto Gilardino,Palermo,2015-2016,"defensive_1,passing_5,control_5,attack_5",0.1(0.023255813953488375),1.3(0.3023255813953489),0.8(0.22222222222222224),0.0(0.0),1.5(0.29411764705882354)
