David Silva,Real Betis,2009-2010,"defensive_1,passing_0,control_3,attack_5",0.7(0.1627906976744186),1.8(0.4186046511627907),0.3(0.08333333333333333),0.1(0.125),2.1(0.411764705882353)
Éver Banega,Real Betis,2009-2010,"defensive_5,passing_3,control_3,attack_1",1.0(0.23255813953488372),0.2(0.04651162790697675),0.0(0.0),0.1(0.125),0.9(0.17647058823529413)
Alexis,Real Betis,2009-2010,"defensive_3,passing_2,control_1,attack_3",0.1(0.023255813953488375),0.3(0.06976744186046512),0.4(0.11111111111111112),0.0(0.0),0.2(0.03921568627450981)
Rubén Baraja,Real Betis,2009-2010,"defensive_5,passing_3,control_3,attack_5",1.3(0.3023255813953489),1.1(0.2558139534883721),0.9(0.25),0.0(0.0),1.3(0.25490196078431376)
David Navarro,Real Betis,2009-2010,"defensive_3,passing_2,control_1,attack_3",0.0(0.0),0.3(0.06976744186046512),0.6(0.16666666666666666),0.0(0.0),0.1(0.019607843137254905)
Juan Mata,Real Betis,2009-2010,"defensive_1,passing_4,control_3,attack_5",0.6(0.13953488372093023),1.3(0.3023255813953489),0.1(0.02777777777777778),0.2(0.25),1.4(0.27450980392156865)
David Villa,Real Betis,2009-2010,"defensive_1,passing_5,control_3,attack_0",1.7(0.3953488372093023),2.7(0.6279069767441862),0.4(0.11111111111111112),0.2(0.25),3.5(0.6862745098039216)
Manuel Fernandes,Real Betis,2009-2010,"defensive_2,passing_3,control_1,attack_1",0.9(0.20930232558139536),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.8(0.15686274509803924)
Hedwiges Maduro,Real Betis,2009-2010,"defensive_2,passing_2,control_1,attack_2",0.0(0.0),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.1(0.019607843137254905)
Carlos Marchena,Real Betis,2009-2010,"defensive_5,passing_3,control_1,attack_3",0.4(0.0930232558139535),0.4(0.0930232558139535),0.2(0.05555555555555556),0.0(0.0),0.5(0.09803921568627452)
Pablo Hernández,Real Betis,2009-2010,"defensive_5,passing_4,control_3,attack_5",0.9(0.20930232558139536),1.1(0.2558139534883721),0.0(0.0),0.2(0.25),1.5(0.29411764705882354)
Miguel Ángel Moyá,Real Betis,2009-2010,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Miguel Brito,Real Betis,2009-2010,"defensive_5,passing_2,control_1,attack_2",0.2(0.04651162790697675),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Jordi Figueras,Real Betis,2013-2014,"defensive_3,passing_2,control_2,attack_3",0.1(0.023255813953488375),0.4(0.0930232558139535),0.2(0.05555555555555556),0.0(0.0),0.1(0.019607843137254905)
Antonio Amaya,Real Betis,2013-2014,"defensive_3,passing_2,control_2,attack_3",0.2(0.04651162790697675),0.8(0.186046511627907),0.7(0.19444444444444442),0.0(0.0),0.4(0.07843137254901962)
Alfred N'Diaye,Real Betis,2013-2014,"defensive_4,passing_5,control_2,attack_3",0.3(0.06976744186046512),0.6(0.13953488372093023),0.4(0.11111111111111112),0.1(0.125),0.5(0.09803921568627452)
Joan Verdú,Real Betis,2013-2014,"defensive_0,passing_4,control_4,attack_1",1.1(0.2558139534883721),0.5(0.11627906976744186),0.0(0.0),0.1(0.125),0.9(0.17647058823529413)
Lorenzo Reyes,Real Betis,2013-2014,"defensive_4,passing_2,control_1,attack_2",0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.0(0.0),0.2(0.03921568627450981)
Javi Chica,Real Betis,2013-2014,"defensive_2,passing_5,control_2,attack_1",0.6(0.13953488372093023),0.3(0.06976744186046512),0.0(0.0),0.0(0.0),0.6(0.11764705882352941)
Dídac Vilá,Real Betis,2013-2014,"defensive_4,passing_5,control_4,attack_2",0.2(0.04651162790697675),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.1(0.019607843137254905)
Rubén Castro,Real Betis,2013-2014,"defensive_1,passing_5,control_4,attack_0",1.1(0.2558139534883721),2.1(0.48837209302325585),0.4(0.11111111111111112),0.3(0.37499999999999994),2.5(0.4901960784313726)
Leo Baptistao,Real Betis,2013-2014,"defensive_0,passing_5,control_0,attack_5",0.9(0.20930232558139536),1.0(0.23255813953488372),0.4(0.11111111111111112),0.2(0.25),1.7(0.33333333333333337)
Xavi Torres,Real Betis,2013-2014,"defensive_0,passing_2,control_2,attack_2",0.2(0.04651162790697675),0.2(0.04651162790697675),0.2(0.05555555555555556),0.0(0.0),0.2(0.03921568627450981)
Nono Delgado,Real Betis,2013-2014,"defensive_4,passing_3,control_3,attack_1",1.5(0.3488372093023256),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),1.3(0.25490196078431376)
Juankar,Real Betis,2013-2014,"defensive_4,passing_4,control_4,attack_1",0.3(0.06976744186046512),0.4(0.0930232558139535),0.1(0.02777777777777778),0.1(0.125),0.6(0.11764705882352941)
Javier Matilla,Real Betis,2013-2014,"defensive_4,passing_3,control_4,attack_1",0.8(0.186046511627907),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.7(0.13725490196078433)
Guillermo Sara,Real Betis,2013-2014,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Cedrick,Real Betis,2013-2014,"defensive_0,passing_5,control_0,attack_5",0.5(0.11627906976744186),1.1(0.2558139534883721),0.2(0.05555555555555556),0.2(0.25),1.2(0.23529411764705882)
Paulao,Real Betis,2013-2014,"defensive_2,passing_2,control_2,attack_3",0.1(0.023255813953488375),0.7(0.1627906976744186),0.5(0.1388888888888889),0.0(0.0),0.3(0.058823529411764705)
Juanfran,Real Betis,2013-2014,"defensive_4,passing_4,control_4,attack_1",0.8(0.186046511627907),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.8(0.15686274509803924)
Nacho,Real Betis,2013-2014,"defensive_4,passing_5,control_1,attack_2",0.2(0.04651162790697675),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.2(0.03921568627450981)
Álvaro Vadillo,Real Betis,2013-2014,"defensive_0,passing_5,control_0,attack_4",1.1(0.2558139534883721),1.0(0.23255813953488372),0.1(0.02777777777777778),0.2(0.25),1.5(0.29411764705882354)
Salva Sevilla,Real Betis,2013-2014,"defensive_0,passing_4,control_4,attack_4",1.3(0.3023255813953489),0.9(0.20930232558139536),0.2(0.05555555555555556),0.1(0.125),1.8(0.35294117647058826)
Damien Perquis,Real Betis,2013-2014,"defensive_3,passing_2,control_2,attack_2",0.0(0.0),0.3(0.06976744186046512),0.2(0.05555555555555556),0.0(0.0),0.0(0.0)
Antonio Adán,Real Betis,2013-2014,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Jorge Molina,Real Betis,2013-2014,"defensive_1,passing_5,control_5,attack_5",0.2(0.04651162790697675),1.8(0.4186046511627907),1.0(0.2777777777777778),0.0(0.0),1.6(0.3137254901960785)
Alin Tosca,Real Betis,2016-2017,"defensive_2,passing_2,control_1,attack_2",0.0(0.0),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.1(0.019607843137254905)
Bruno,Real Betis,2016-2017,"defensive_2,passing_2,control_2,attack_2",0.0(0.0),0.1(0.023255813953488375),0.2(0.05555555555555556),0.0(0.0),0.0(0.0)
Aissa Mandi,Real Betis,2016-2017,"defensive_3,passing_2,control_2,attack_3",0.1(0.023255813953488375),0.4(0.0930232558139535),0.3(0.08333333333333333),0.0(0.0),0.1(0.019607843137254905)
Cristiano Piccini,Real Betis,2016-2017,"defensive_5,passing_5,control_4,attack_2",0.3(0.06976744186046512),0.4(0.0930232558139535),0.0(0.0),0.0(0.0),0.6(0.11764705882352941)
Germán Pezzella,Real Betis,2016-2017,"defensive_2,passing_2,control_2,attack_3",0.0(0.0),0.4(0.0930232558139535),0.3(0.08333333333333333),0.0(0.0),0.0(0.0)
Rubén Castro,Real Betis,2016-2017,"defensive_1,passing_5,control_4,attack_0",1.3(0.3023255813953489),2.2(0.5116279069767442),0.3(0.08333333333333333),0.0(0.0),3.1(0.607843137254902)
Riza Durmisi,Real Betis,2016-2017,"defensive_0,passing_4,control_4,attack_2",0.5(0.11627906976744186),0.3(0.06976744186046512),0.0(0.0),0.0(0.0),0.5(0.09803921568627452)
Álex Martínez,Real Betis,2016-2017,"defensive_2,passing_5,control_1,attack_3",0.2(0.04651162790697675),0.6(0.13953488372093023),0.0(0.0),0.0(0.0),0.5(0.09803921568627452)
Darko Brasanac,Real Betis,2016-2017,"defensive_4,passing_5,control_4,attack_3",0.2(0.04651162790697675),0.6(0.13953488372093023),0.3(0.08333333333333333),0.1(0.125),0.7(0.13725490196078433)
Álex Alegría,Real Betis,2016-2017,"defensive_0,passing_5,control_5,attack_5",0.8(0.186046511627907),1.8(0.4186046511627907),0.8(0.22222222222222224),0.0(0.0),2.4(0.47058823529411764)
Felipe Gutiérrez,Real Betis,2016-2017,"defensive_4,passing_4,control_4,attack_2",0.5(0.11627906976744186),0.4(0.0930232558139535),0.0(0.0),0.0(0.0),0.4(0.07843137254901962)
Álvaro Cejudo,Real Betis,2016-2017,"defensive_4,passing_5,control_4,attack_1",1.2(0.27906976744186046),0.6(0.13953488372093023),0.0(0.0),0.0(0.0),1.5(0.29411764705882354)
Joaquín,Real Betis,2016-2017,"defensive_1,passing_0,control_4,attack_1",0.7(0.1627906976744186),0.8(0.186046511627907),0.2(0.05555555555555556),0.1(0.125),0.9(0.17647058823529413)
Petros,Real Betis,2016-2017,"defensive_4,passing_5,control_3,attack_2",0.3(0.06976744186046512),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.3(0.058823529411764705)
Ryan Donk,Real Betis,2016-2017,"defensive_2,passing_2,control_4,attack_2",0.1(0.023255813953488375),0.1(0.023255813953488375),0.2(0.05555555555555556),0.0(0.0),0.1(0.019607843137254905)
Dani Ceballos,Real Betis,2016-2017,"defensive_4,passing_0,control_0,attack_1",1.2(0.27906976744186046),0.3(0.06976744186046512),0.0(0.0),0.0(0.0),1.0(0.19607843137254904)
Rubén Pardo,Real Betis,2016-2017,"defensive_4,passing_3,control_1,attack_1",1.1(0.2558139534883721),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.7(0.13725490196078433)
Jonas Martin,Real Betis,2016-2017,"defensive_0,passing_5,control_4,attack_3",0.1(0.023255813953488375),0.6(0.13953488372093023),0.2(0.05555555555555556),0.0(0.0),0.7(0.13725490196078433)
Antonio Sanabria,Real Betis,2016-2017,"defensive_0,passing_5,control_5,attack_5",0.4(0.0930232558139535),1.7(0.3953488372093023),0.8(0.22222222222222224),0.1(0.125),1.7(0.33333333333333337)
Antonio Adán,Real Betis,2016-2017,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Rafa Navarro,Real Betis,2016-2017,"defensive_0,passing_5,control_4,attack_2",0.2(0.04651162790697675),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.4(0.07843137254901962)
Enzo Pérez,Real Betis,2014-2015,"defensive_4,passing_2,control_3,attack_2",0.3(0.06976744186046512),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Rodrigo de Paul,Real Betis,2014-2015,"defensive_0,passing_4,control_0,attack_4",1.6(0.372093023255814),1.3(0.3023255813953489),0.1(0.02777777777777778),0.3(0.37499999999999994),2.4(0.47058823529411764)
Álvaro Negredo,Real Betis,2014-2015,"defensive_0,passing_5,control_5,attack_0",0.7(0.1627906976744186),2.2(0.5116279069767442),1.4(0.38888888888888884),0.1(0.125),2.3(0.45098039215686275)
Shkodran Mustafi,Real Betis,2014-2015,"defensive_3,passing_2,control_2,attack_3",0.0(0.0),0.5(0.11627906976744186),0.4(0.11111111111111112),0.0(0.0),0.0(0.0)
Daniel Parejo,Real Betis,2014-2015,"defensive_4,passing_3,control_3,attack_1",0.9(0.20930232558139536),0.7(0.1627906976744186),0.2(0.05555555555555556),0.1(0.125),0.7(0.13725490196078433)
Nicolás Otamendi,Real Betis,2014-2015,"defensive_3,passing_2,control_2,attack_3",0.1(0.023255813953488375),0.4(0.0930232558139535),0.4(0.11111111111111112),0.0(0.0),0.1(0.019607843137254905)
Diego Alves,Real Betis,2014-2015,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Lucas Orban,Real Betis,2014-2015,"defensive_4,passing_2,control_2,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Antonio Barragán,Real Betis,2014-2015,"defensive_4,passing_2,control_2,attack_2",0.1(0.023255813953488375),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.2(0.03921568627450981)
Paco Alcácer,Real Betis,2014-2015,"defensive_0,passing_5,control_4,attack_5",0.6(0.13953488372093023),1.4(0.3255813953488372),0.4(0.11111111111111112),0.1(0.125),2.0(0.3921568627450981)
José Gayá,Real Betis,2014-2015,"defensive_4,passing_5,control_4,attack_2",0.4(0.0930232558139535),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.6(0.11764705882352941)
André Gomes,Real Betis,2014-2015,"defensive_0,passing_5,control_0,attack_1",0.8(0.186046511627907),0.5(0.11627906976744186),0.0(0.0),0.1(0.125),1.2(0.23529411764705882)
Javi Fuego,Real Betis,2014-2015,"defensive_4,passing_2,control_1,attack_2",0.1(0.023255813953488375),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.1(0.019607843137254905)
Rodrigo Moreno,Real Betis,2014-2015,"defensive_0,passing_5,control_0,attack_5",0.6(0.13953488372093023),1.6(0.372093023255814),0.3(0.08333333333333333),0.2(0.25),1.9(0.37254901960784315)
Pablo Piatti,Real Betis,2014-2015,"defensive_4,passing_4,control_0,attack_5",0.4(0.0930232558139535),1.0(0.23255813953488372),0.0(0.0),0.2(0.25),1.1(0.21568627450980396)
Sofiane Feghouli,Real Betis,2014-2015,"defensive_0,passing_5,control_0,attack_5",0.2(0.04651162790697675),1.3(0.3023255813953489),0.3(0.08333333333333333),0.1(0.125),1.3(0.25490196078431376)
Alfred N'Diaye,Real Betis,2015-2016,"defensive_4,passing_2,control_4,attack_3",0.2(0.04651162790697675),0.5(0.11627906976744186),0.3(0.08333333333333333),0.0(0.0),0.4(0.07843137254901962)
Bruno,Real Betis,2015-2016,"defensive_2,passing_2,control_2,attack_3",0.0(0.0),0.5(0.11627906976744186),0.4(0.11111111111111112),0.0(0.0),0.2(0.03921568627450981)
Martín Montoya,Real Betis,2015-2016,"defensive_4,passing_2,control_4,attack_2",0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Cristiano Piccini,Real Betis,2015-2016,"defensive_4,passing_5,control_4,attack_1",0.7(0.1627906976744186),0.2(0.04651162790697675),0.0(0.0),0.1(0.125),0.5(0.09803921568627452)
Germán Pezzella,Real Betis,2015-2016,"defensive_2,passing_2,control_2,attack_3",0.0(0.0),0.7(0.1627906976744186),0.5(0.1388888888888889),0.0(0.0),0.1(0.019607843137254905)
Rubén Castro,Real Betis,2015-2016,"defensive_1,passing_5,control_4,attack_5",0.8(0.186046511627907),1.6(0.372093023255814),0.6(0.16666666666666666),0.2(0.25),1.9(0.37254901960784315)
Francisco Portillo,Real Betis,2015-2016,"defensive_0,passing_0,control_0,attack_2",0.3(0.06976744186046512),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.1(0.019607843137254905)
Juan Vargas,Real Betis,2015-2016,"defensive_2,passing_4,control_1,attack_2",0.8(0.186046511627907),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.2(0.03921568627450981)
Francisco Molinero,Real Betis,2015-2016,"defensive_4,passing_5,control_1,attack_2",0.2(0.04651162790697675),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.3(0.058823529411764705)
Charly Musonda,Real Betis,2015-2016,"defensive_0,passing_5,control_0,attack_1",0.7(0.1627906976744186),0.4(0.0930232558139535),0.1(0.02777777777777778),0.0(0.0),0.8(0.15686274509803924)
Heiko Westermann,Real Betis,2015-2016,"defensive_3,passing_2,control_2,attack_3",0.1(0.023255813953488375),0.7(0.1627906976744186),0.4(0.11111111111111112),0.1(0.125),0.1(0.019607843137254905)
Álvaro Cejudo,Real Betis,2015-2016,"defensive_4,passing_5,control_0,attack_1",1.3(0.3023255813953489),0.4(0.0930232558139535),0.0(0.0),0.1(0.125),1.2(0.23529411764705882)
Joaquín,Real Betis,2015-2016,"defensive_0,passing_4,control_0,attack_1",0.4(0.0930232558139535),0.6(0.13953488372093023),0.1(0.02777777777777778),0.2(0.25),0.8(0.15686274509803924)
Petros,Real Betis,2015-2016,"defensive_4,passing_2,control_3,attack_2",0.2(0.04651162790697675),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Dani Ceballos,Real Betis,2015-2016,"defensive_4,passing_3,control_0,attack_2",0.5(0.11627906976744186),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.6(0.11764705882352941)
Varela,Real Betis,2015-2016,"defensive_2,passing_5,control_1,attack_2",0.3(0.06976744186046512),0.3(0.06976744186046512),0.0(0.0),0.0(0.0),0.4(0.07843137254901962)
Antonio Adán,Real Betis,2015-2016,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Jorge Molina,Real Betis,2015-2016,"defensive_0,passing_5,control_5,attack_3",0.2(0.04651162790697675),1.0(0.23255813953488372),0.5(0.1388888888888889),0.1(0.125),0.9(0.17647058823529413)
Antonio Amaya,Real Betis,2011-2012,"defensive_3,passing_2,control_2,attack_2",0.0(0.0),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.1(0.019607843137254905)
Beñat Etxebarria,Real Betis,2011-2012,"defensive_5,passing_4,control_4,attack_4",2.3(0.5348837209302325),0.3(0.06976744186046512),0.0(0.0),0.1(0.125),1.3(0.25490196078431376)
Javi Chica,Real Betis,2011-2012,"defensive_2,passing_5,control_1,attack_2",0.4(0.0930232558139535),0.0(0.0),0.0(0.0),0.0(0.0),0.2(0.03921568627450981)
Jonathan Pereira,Real Betis,2011-2012,"defensive_5,passing_5,control_3,attack_5",0.7(0.1627906976744186),1.6(0.372093023255814),0.0(0.0),0.2(0.25),1.9(0.37254901960784315)
Iriney,Real Betis,2011-2012,"defensive_5,passing_3,control_1,attack_1",0.7(0.1627906976744186),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.5(0.09803921568627452)
Rubén Castro,Real Betis,2011-2012,"defensive_1,passing_5,control_4,attack_0",0.9(0.20930232558139536),1.9(0.4418604651162791),0.4(0.11111111111111112),0.4(0.5),2.4(0.47058823529411764)
Roque Santa Cruz,Real Betis,2011-2012,"defensive_1,passing_5,control_5,attack_5",0.4(0.0930232558139535),1.3(0.3023255813953489),0.6(0.16666666666666666),0.3(0.37499999999999994),1.0(0.19607843137254904)
Chechu Dorado,Real Betis,2011-2012,"defensive_2,passing_2,control_1,attack_2",0.1(0.023255813953488375),0.3(0.06976744186046512),0.2(0.05555555555555556),0.0(0.0),0.1(0.019607843137254905)
José Cañas,Real Betis,2011-2012,"defensive_5,passing_3,control_3,attack_2",0.3(0.06976744186046512),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.2(0.03921568627450981)
Fabri,Real Betis,2011-2012,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Nélson,Real Betis,2011-2012,"defensive_2,passing_5,control_4,attack_2",0.3(0.06976744186046512),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.4(0.07843137254901962)
Jefferson Montero,Real Betis,2011-2012,"defensive_5,passing_5,control_0,attack_4",1.5(0.3488372093023256),1.1(0.2558139534883721),0.0(0.0),0.0(0.0),2.0(0.3921568627450981)
Isidoro,Real Betis,2011-2012,"defensive_2,passing_2,control_1,attack_2",0.1(0.023255813953488375),0.3(0.06976744186046512),0.0(0.0),0.0(0.0),0.2(0.03921568627450981)
Paulao,Real Betis,2011-2012,"defensive_2,passing_2,control_1,attack_3",0.0(0.0),0.4(0.0930232558139535),0.4(0.11111111111111112),0.0(0.0),0.0(0.0)
Mario Álvarez,Real Betis,2011-2012,"defensive_2,passing_2,control_1,attack_2",0.1(0.023255813953488375),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.0(0.0)
Juanma Gómez,Real Betis,2011-2012,"defensive_5,passing_0,control_4,attack_2",0.3(0.06976744186046512),0.3(0.06976744186046512),0.1(0.02777777777777778),0.0(0.0),0.6(0.11764705882352941)
Álex Pozuelo,Real Betis,2011-2012,"defensive_5,passing_0,control_0,attack_5",1.0(0.23255813953488372),1.1(0.2558139534883721),0.0(0.0),0.3(0.37499999999999994),1.5(0.29411764705882354)
Nacho,Real Betis,2011-2012,"defensive_5,passing_5,control_2,attack_2",0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.0(0.0),0.1(0.019607843137254905)
Salva Sevilla,Real Betis,2011-2012,"defensive_5,passing_4,control_4,attack_4",1.7(0.3953488372093023),0.7(0.1627906976744186),0.2(0.05555555555555556),0.1(0.125),1.1(0.21568627450980396)
Casto,Real Betis,2011-2012,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Jorge Molina,Real Betis,2011-2012,"defensive_1,passing_0,control_4,attack_0",0.4(0.0930232558139535),1.8(0.4186046511627907),0.4(0.11111111111111112),0.5(0.625),1.6(0.3137254901960785)
Jordi Alba,Real Betis,2010-2011,"defensive_5,passing_2,control_4,attack_2",0.1(0.023255813953488375),0.4(0.0930232558139535),0.1(0.02777777777777778),0.1(0.125),0.4(0.07843137254901962)
Jeremy Mathieu,Real Betis,2010-2011,"defensive_5,passing_5,control_4,attack_2",0.4(0.0930232558139535),0.3(0.06976744186046512),0.0(0.0),0.0(0.0),0.5(0.09803921568627452)
Bruno,Real Betis,2010-2011,"defensive_2,passing_2,control_4,attack_2",0.0(0.0),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.1(0.019607843137254905)
Tino Costa,Real Betis,2010-2011,"defensive_5,passing_4,control_4,attack_4",1.9(0.4418604651162791),0.3(0.06976744186046512),0.0(0.0),0.1(0.125),1.3(0.25490196078431376)
David Albelda,Real Betis,2010-2011,"defensive_5,passing_2,control_1,attack_2",0.5(0.11627906976744186),0.1(0.023255813953488375),0.0(0.0),0.1(0.125),0.2(0.03921568627450981)
Aduriz,Real Betis,2010-2011,"defensive_1,passing_5,control_5,attack_0",0.3(0.06976744186046512),1.9(0.4418604651162791),0.7(0.19444444444444442),0.3(0.37499999999999994),1.8(0.35294117647058826)
Juan Mata,Real Betis,2010-2011,"defensive_1,passing_0,control_4,attack_5",0.7(0.1627906976744186),1.5(0.3488372093023256),0.1(0.02777777777777778),0.2(0.25),1.6(0.3137254901960785)
César,Real Betis,2010-2011,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Ángel Dealbert,Real Betis,2010-2011,"defensive_2,passing_2,control_1,attack_2",0.0(0.0),0.2(0.04651162790697675),0.2(0.05555555555555556),0.0(0.0),0.0(0.0)
Éver Banega,Real Betis,2010-2011,"defensive_5,passing_3,control_0,attack_4",1.5(0.3488372093023256),0.4(0.0930232558139535),0.0(0.0),0.1(0.125),1.4(0.27450980392156865)
Mehmet Topal,Real Betis,2010-2011,"defensive_2,passing_2,control_2,attack_2",0.4(0.0930232558139535),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.4(0.07843137254901962)
David Navarro,Real Betis,2010-2011,"defensive_3,passing_2,control_1,attack_3",0.0(0.0),0.3(0.06976744186046512),0.3(0.08333333333333333),0.0(0.0),0.1(0.019607843137254905)
Ricardo Costa,Real Betis,2010-2011,"defensive_3,passing_2,control_2,attack_3",0.0(0.0),0.5(0.11627906976744186),0.4(0.11111111111111112),0.0(0.0),0.1(0.019607843137254905)
Vicente Guaita,Real Betis,2010-2011,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Hedwiges Maduro,Real Betis,2010-2011,"defensive_5,passing_2,control_1,attack_2",0.2(0.04651162790697675),0.2(0.04651162790697675),0.2(0.05555555555555556),0.0(0.0),0.1(0.019607843137254905)
Joaquín,Real Betis,2010-2011,"defensive_1,passing_4,control_0,attack_5",0.5(0.11627906976744186),0.9(0.20930232558139536),0.1(0.02777777777777778),0.3(0.37499999999999994),0.9(0.17647058823529413)
Pablo Hernández,Real Betis,2010-2011,"defensive_1,passing_0,control_4,attack_5",0.5(0.11627906976744186),1.3(0.3023255813953489),0.1(0.02777777777777778),0.4(0.5),1.2(0.23529411764705882)
Marius Stankevicius,Real Betis,2010-2011,"defensive_2,passing_2,control_1,attack_2",0.2(0.04651162790697675),0.3(0.06976744186046512),0.2(0.05555555555555556),0.0(0.0),0.2(0.03921568627450981)
Roberto Soldado,Real Betis,2010-2011,"defensive_1,passing_5,control_4,attack_0",0.5(0.11627906976744186),2.1(0.48837209302325585),0.5(0.1388888888888889),0.3(0.37499999999999994),1.9(0.37254901960784315)
Miguel Brito,Real Betis,2010-2011,"defensive_5,passing_5,control_1,attack_2",0.3(0.06976744186046512),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Adrián,Real Betis,2012-2013,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Antonio Amaya,Real Betis,2012-2013,"defensive_3,passing_2,control_2,attack_3",0.0(0.0),0.4(0.0930232558139535),0.3(0.08333333333333333),0.0(0.0),0.1(0.019607843137254905)
Beñat Etxebarria,Real Betis,2012-2013,"defensive_5,passing_4,control_4,attack_1",1.5(0.3488372093023256),0.3(0.06976744186046512),0.0(0.0),0.0(0.0),0.8(0.15686274509803924)
Javi Chica,Real Betis,2012-2013,"defensive_2,passing_2,control_1,attack_2",0.6(0.13953488372093023),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.4(0.07843137254901962)
Ángel,Real Betis,2012-2013,"defensive_5,passing_2,control_1,attack_2",0.0(0.0),0.1(0.023255813953488375),0.0(0.0),0.1(0.125),0.0(0.0)
Rubén Castro,Real Betis,2012-2013,"defensive_1,passing_5,control_4,attack_0",0.5(0.11627906976744186),1.7(0.3953488372093023),0.3(0.08333333333333333),0.5(0.625),1.5(0.29411764705882354)
Dorlan Pabón,Real Betis,2012-2013,"defensive_1,passing_5,control_4,attack_0",1.9(0.4418604651162791),1.4(0.3255813953488372),0.1(0.02777777777777778),0.6(0.7499999999999999),2.5(0.4901960784313726)
Juankar,Real Betis,2012-2013,"defensive_5,passing_5,control_4,attack_1",0.4(0.0930232558139535),0.8(0.186046511627907),0.1(0.02777777777777778),0.1(0.125),0.8(0.15686274509803924)
José Cañas,Real Betis,2012-2013,"defensive_5,passing_2,control_1,attack_2",0.4(0.0930232558139535),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.2(0.03921568627450981)
Rubén Pérez,Real Betis,2012-2013,"defensive_5,passing_2,control_4,attack_2",0.4(0.0930232558139535),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.3(0.058823529411764705)
Nélson,Real Betis,2012-2013,"defensive_2,passing_2,control_4,attack_2",0.4(0.0930232558139535),0.0(0.0),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
