Franco Vázquez,Palermo,0,2014-2015,34.3(0.30297565374211),2.0(0.12578616352201258),0.6(0.13636363636363635),1.6(0.4705882352941177),0.3(0.13636363636363635)
Sinisa Andjelkovic,Palermo,2,2014-2015,25.4(0.22272317403065825),2.5(0.15723270440251572),0.0(0.0),0.1(0.029411764705882356),0.0(0.0)
Michel Morganella,Palermo,5,2014-2015,25.9(0.22723174030658252),1.6(0.10062893081761007),0.7(0.15909090909090906),0.6(0.17647058823529413),0.1(0.045454545454545456)
Edgar Barreto,Palermo,0,2014-2015,35.4(0.31289449954914333),2.5(0.15723270440251572),0.4(0.09090909090909091),1.6(0.4705882352941177),0.3(0.13636363636363635)
Claudio Terzi,Palermo,2,2014-2015,28.8(0.25338142470694325),5.7(0.3584905660377358),0.0(0.0),0.3(0.08823529411764706),0.1(0.045454545454545456)
Achraf Lazaar,Palermo,5,2014-2015,29.3(0.25788999098286747),1.6(0.10062893081761007),1.4(0.3181818181818181),0.6(0.17647058823529413),0.3(0.13636363636363635)
Giancarlo Gonzalez,Palermo,2,2014-2015,22.2(0.19386834986474302),3.5(0.22012578616352202),0.0(0.0),0.2(0.05882352941176471),0.0(0.0)
Fabio Daprelà,Palermo,5,2014-2015,31.6(0.27862939585211904),2.2(0.13836477987421383),0.9(0.20454545454545453),0.9(0.2647058823529412),0.2(0.09090909090909091)
Paulo Dybala,Palermo,4,2014-2015,25.8(0.22633002705139768),1.3(0.08176100628930817),1.2(0.2727272727272727),1.3(0.3823529411764706),0.5(0.22727272727272727)
Enzo Maresca,Palermo,3,2014-2015,57.9(0.5157799819657349),4.0(0.25157232704402516),0.1(0.022727272727272728),0.8(0.23529411764705885),0.1(0.045454545454545456)
Mato Jajalo,Palermo,3,2014-2015,43.6(0.3868349864743012),3.5(0.22012578616352202),0.4(0.09090909090909091),0.6(0.17647058823529413),0.2(0.09090909090909091)
Robin Quaison,Palermo,0,2014-2015,19.2(0.16681695220919748),1.3(0.08176100628930817),0.7(0.15909090909090906),1.5(0.4411764705882353),0.2(0.09090909090909091)
Roberto Vitiello,Palermo,2,2014-2015,31.6(0.27862939585211904),2.5(0.15723270440251572),0.1(0.022727272727272728),0.0(0.0),0.0(0.0)
Alberto Gilardino,Palermo,5,2015-2016,14.6(0.12533814247069433),0.2(0.012578616352201259),0.0(0.0),0.8(0.23529411764705885),0.0(0.0)
Oscar Hiljemark,Palermo,0,2015-2016,26.7(0.23444544634806133),1.3(0.08176100628930817),1.0(0.22727272727272727),1.1(0.3235294117647059),0.3(0.13636363636363635)
Andrea Rispoli,Palermo,5,2015-2016,24.1(0.21100090171325522),1.3(0.08176100628930817),1.3(0.2954545454545454),0.9(0.2647058823529412),0.3(0.13636363636363635)
Aljaz Struna,Palermo,2,2015-2016,26.8(0.2353471596032462),1.7(0.10691823899371068),0.3(0.06818181818181818),0.3(0.08823529411764706),0.0(0.0)
Stefano Sorrentino,Palermo,1,2015-2016,4.0(0.029756537421100092),9.6(0.6037735849056604),0.0(0.0),0.0(0.0),0.0(0.0)
Aleksandar Trajkovski,Palermo,0,2015-2016,20.9(0.18214607754733994),0.8(0.050314465408805034),1.1(0.25),1.3(0.3823529411764706),0.2(0.09090909090909091)
Ivaylo Chochev,Palermo,5,2015-2016,30.2(0.2660054102795311),1.1(0.06918238993710692),0.3(0.06818181818181818),0.6(0.17647058823529413),0.0(0.0)
Franco Vázquez,Palermo,0,2015-2016,28.6(0.2515779981965735),2.3(0.14465408805031446),1.0(0.22727272727272727),1.2(0.35294117647058826),0.3(0.13636363636363635)
Gastón Brugman,Palermo,0,2015-2016,43.0(0.3814247069431921),4.0(0.25157232704402516),0.2(0.045454545454545456),1.6(0.4705882352941177),0.1(0.045454545454545456)
Sinisa Andjelkovic,Palermo,2,2015-2016,17.9(0.1550946798917944),1.7(0.10691823899371068),0.0(0.0),0.1(0.029411764705882356),0.0(0.0)
Michel Morganella,Palermo,2,2015-2016,21.1(0.18394950405770968),1.3(0.08176100628930817),0.3(0.06818181818181818),0.3(0.08823529411764706),0.1(0.045454545454545456)
Achraf Lazaar,Palermo,5,2015-2016,25.4(0.22272317403065825),2.4(0.1509433962264151),0.9(0.20454545454545453),0.5(0.14705882352941177),0.3(0.13636363636363635)
Giancarlo Gonzalez,Palermo,2,2015-2016,17.5(0.15148782687105503),4.2(0.2641509433962264),0.0(0.0),0.1(0.029411764705882356),0.0(0.0)
Edoardo Goldaniga,Palermo,2,2015-2016,14.5(0.12443642921550949),2.8(0.1761006289308176),0.0(0.0),0.1(0.029411764705882356),0.1(0.045454545454545456)
Enzo Maresca,Palermo,3,2015-2016,46.1(0.40937781785392247),4.8(0.3018867924528302),0.1(0.022727272727272728),0.6(0.17647058823529413),0.1(0.045454545454545456)
Mato Jajalo,Palermo,2,2015-2016,34.2(0.3020739404869252),3.0(0.18867924528301885),0.0(0.0),0.7(0.20588235294117646),0.1(0.045454545454545456)
Robin Quaison,Palermo,5,2015-2016,20.9(0.18214607754733994),0.9(0.05660377358490566),1.1(0.25),1.1(0.3235294117647059),0.4(0.18181818181818182)
Roberto Vitiello,Palermo,2,2015-2016,24.5(0.2146077547339946),4.5(0.2830188679245283),0.3(0.06818181818181818),0.1(0.029411764705882356),0.0(0.0)
Francesco Della Rocca,Palermo,0,2011-2012,41.3(0.36609558160504957),3.2(0.20125786163522014),0.2(0.045454545454545456),1.3(0.3823529411764706),0.1(0.045454545454545456)
Josip Ilicic,Palermo,4,2011-2012,34.1(0.3011722272317403),3.1(0.1949685534591195),1.0(0.22727272727272727),1.5(0.4411764705882353),0.6(0.2727272727272727)
Alexandros Tzorvas,Palermo,2,2011-2012,3.0(0.020739404869251576),3.5(0.22012578616352202),0.0(0.0),0.0(0.0),0.0(0.0)
Nicolás Bertolo,Palermo,5,2011-2012,29.1(0.2560865644724978),0.4(0.025157232704402517),0.2(0.045454545454545456),0.7(0.20588235294117646),0.1(0.045454545454545456)
Carlos Labrín,Palermo,2,2011-2012,21.0(0.1830477908025248),3.1(0.1949685534591195),0.0(0.0),0.1(0.029411764705882356),0.0(0.0)
Emiliano Viviano,Palermo,1,2011-2012,4.4(0.0333633904418395),5.8(0.36477987421383645),0.0(0.0),0.0(0.0),0.1(0.045454545454545456)
Afriyie Acquah,Palermo,5,2011-2012,26.9(0.23624887285843102),1.6(0.10062893081761007),0.1(0.022727272727272728),0.5(0.14705882352941177),0.1(0.045454545454545456)
Giulio Migliaccio,Palermo,2,2011-2012,24.7(0.21641118124436431),1.0(0.06289308176100629),0.0(0.0),0.4(0.11764705882352942),0.0(0.0)
Igor Budan,Palermo,0,2011-2012,18.4(0.15960324616771868),0.5(0.031446540880503145),0.2(0.045454545454545456),1.5(0.4411764705882353),0.1(0.045454545454545456)
Ezequiel Muñoz,Palermo,2,2011-2012,23.5(0.2055906221821461),2.1(0.1320754716981132),0.1(0.022727272727272728),0.2(0.05882352941176471),0.0(0.0)
Andrea Mantovani,Palermo,2,2011-2012,26.1(0.22903516681695224),2.7(0.169811320754717),0.2(0.045454545454545456),0.3(0.08823529411764706),0.0(0.0)
Edgar Barreto,Palermo,5,2011-2012,33.7(0.29756537421100093),2.5(0.15723270440251572),0.2(0.045454545454545456),1.1(0.3235294117647059),0.2(0.09090909090909091)
Eran Zahavi,Palermo,0,2011-2012,28.0(0.2461677186654644),1.4(0.0880503144654088),0.4(0.09090909090909091),1.6(0.4705882352941177),0.2(0.09090909090909091)
Massimo Donati,Palermo,3,2011-2012,46.5(0.41298467087466184),6.6(0.4150943396226415),0.2(0.045454545454545456),1.2(0.35294117647058826),0.2(0.09090909090909091)
Federico Balzaretti,Palermo,0,2011-2012,37.7(0.33363390441839497),1.6(0.10062893081761007),1.0(0.22727272727272727),1.1(0.3235294117647059),0.0(0.0)
Fabrizio Miccoli,Palermo,4,2011-2012,18.8(0.1632100991884581),0.9(0.05660377358490566),1.8(0.40909090909090906),1.7(0.5),0.7(0.3181818181818181)
Matías Silvestre,Palermo,2,2011-2012,21.9(0.19116321009918846),4.4(0.27672955974842767),0.0(0.0),0.0(0.0),0.0(0.0)
Abel Hernández,Palermo,5,2011-2012,16.2(0.13976555455365194),0.2(0.012578616352201259),0.1(0.022727272727272728),1.1(0.3235294117647059),0.0(0.0)
Eros Pisano,Palermo,5,2011-2012,17.3(0.14968440036068534),1.4(0.0880503144654088),0.7(0.15909090909090906),0.3(0.08823529411764706),0.2(0.09090909090909091)
Salvatore Sirigu,Palermo,1,2010-2011,4.7(0.036068530207394055),7.5(0.4716981132075472),0.0(0.0),0.0(0.0),0.0(0.0)
Dorin Goian,Palermo,2,2010-2011,24.2(0.21190261496844004),3.0(0.18867924528301885),0.0(0.0),0.1(0.029411764705882356),0.0(0.0)
Josip Ilicic,Palermo,4,2010-2011,32.8(0.2894499549143372),2.1(0.1320754716981132),1.3(0.2954545454545454),2.2(0.6470588235294118),0.8(0.36363636363636365)
Giulio Migliaccio,Palermo,2,2010-2011,24.6(0.21550946798917947),1.0(0.06289308176100629),0.1(0.022727272727272728),0.3(0.08823529411764706),0.1(0.045454545454545456)
Antonio Nocerino,Palermo,0,2010-2011,38.8(0.3435527502254283),2.4(0.1509433962264151),0.2(0.045454545454545456),1.2(0.35294117647058826),0.1(0.045454545454545456)
Mauricio Pinilla,Palermo,0,2010-2011,16.2(0.13976555455365194),0.3(0.018867924528301886),0.1(0.022727272727272728),1.5(0.4411764705882353),0.0(0.0)
Federico Balzaretti,Palermo,0,2010-2011,43.4(0.38503155996393146),1.9(0.11949685534591194),1.0(0.22727272727272727),1.3(0.3823529411764706),0.2(0.09090909090909091)
Mattia Cassani,Palermo,4,2010-2011,30.1(0.2651036970243463),2.2(0.13836477987421383),1.2(0.2727272727272727),0.8(0.23529411764705885),0.5(0.22727272727272727)
Fabrizio Miccoli,Palermo,4,2010-2011,25.5(0.22362488728584312),1.6(0.10062893081761007),1.3(0.2954545454545454),1.6(0.4705882352941177),0.5(0.22727272727272727)
Cesare Bovo,Palermo,2,2010-2011,34.9(0.3083859332732191),4.8(0.3018867924528302),0.2(0.045454545454545456),0.4(0.11764705882352942),0.1(0.045454545454545456)
Javier Pastore,Palermo,0,2010-2011,35.2(0.3110910730387737),2.3(0.14465408805031446),0.5(0.11363636363636363),2.2(0.6470588235294118),0.2(0.09090909090909091)
Armin Bacinovic,Palermo,3,2010-2011,42.2(0.3742110009017133),4.8(0.3018867924528302),0.0(0.0),0.9(0.2647058823529412),0.0(0.0)
Abel Hernández,Palermo,5,2010-2011,16.9(0.1460775473399459),0.1(0.006289308176100629),0.0(0.0),0.8(0.23529411764705885),0.0(0.0)
Ezequiel Muñoz,Palermo,2,2010-2011,22.2(0.19386834986474302),1.9(0.11949685534591194),0.0(0.0),0.1(0.029411764705882356),0.0(0.0)
Jasmin Kurtic,Palermo,3,2012-2013,40.7(0.3606853020739405),3.6(0.22641509433962265),0.3(0.06818181818181818),0.8(0.23529411764705885),0.1(0.045454545454545456)
Stefano Sorrentino,Palermo,1,2012-2013,6.9(0.05590622182146078),5.5(0.34591194968553457),0.0(0.0),0.0(0.0),0.1(0.045454545454545456)
Josip Ilicic,Palermo,0,2012-2013,31.0(0.2732191163210099),2.4(0.1509433962264151),0.9(0.20454545454545453),1.8(0.5294117647058824),0.5(0.22727272727272727)
Samir Ujkani,Palermo,1,2012-2013,5.9(0.04688908926961227),7.1(0.4465408805031446),0.0(0.0),0.0(0.0),0.1(0.045454545454545456)
Ezequiel Muñoz,Palermo,2,2012-2013,31.3(0.2759242560865645),2.2(0.13836477987421383),0.1(0.022727272727272728),0.1(0.029411764705882356),0.1(0.045454545454545456)
Michel Morganella,Palermo,5,2012-2013,29.9(0.2633002705139766),0.7(0.0440251572327044),0.2(0.045454545454545456),0.5(0.14705882352941177),0.1(0.045454545454545456)
Edgar Barreto,Palermo,0,2012-2013,46.8(0.4156898106402164),2.9(0.18238993710691823),0.4(0.09090909090909091),1.5(0.4411764705882353),0.0(0.0)
Massimo Donati,Palermo,3,2012-2013,40.8(0.3615870153291253),8.0(0.5031446540880503),0.0(0.0),0.5(0.14705882352941177),0.1(0.045454545454545456)
Steve Von Bergen,Palermo,2,2012-2013,24.4(0.21370604147880976),2.1(0.1320754716981132),0.0(0.0),0.1(0.029411764705882356),0.0(0.0)
Andrea Dossena,Palermo,5,2012-2013,21.8(0.19026149684400365),0.7(0.0440251572327044),0.9(0.20454545454545453),0.7(0.20588235294117646),0.2(0.09090909090909091)
Paulo Dybala,Palermo,0,2012-2013,21.5(0.1875563570784491),0.7(0.0440251572327044),0.6(0.13636363636363635),1.2(0.35294117647058826),0.5(0.22727272727272727)
Egidio Arévalo Ríos,Palermo,3,2012-2013,44.2(0.3922452660054103),3.3(0.20754716981132074),0.0(0.0),0.7(0.20588235294117646),0.2(0.09090909090909091)
Franco Brienza,Palermo,0,2012-2013,30.2(0.2660054102795311),1.3(0.08176100628930817),0.5(0.11363636363636363),2.6(0.7647058823529412),0.1(0.045454545454545456)
Fabrizio Miccoli,Palermo,4,2012-2013,14.4(0.12353471596032464),0.9(0.05660377358490566),1.4(0.3181818181818181),1.4(0.4117647058823529),0.7(0.3181818181818181)
Salvatore Aronica,Palermo,2,2012-2013,27.2(0.23895401262398558),2.9(0.18238993710691823),0.2(0.045454545454545456),0.1(0.029411764705882356),0.0(0.0)
Santiago García,Palermo,5,2012-2013,32.4(0.28584310189359785),0.8(0.050314465408805034),0.3(0.06818181818181818),0.6(0.17647058823529413),0.0(0.0)
Cristian Zenoni,Bologna,2,2009-2010,24.2(0.21190261496844004),1.4(0.0880503144654088),0.2(0.045454545454545456),0.3(0.08823529411764706),0.0(0.0)
Francesco Valiani,Bologna,5,2009-2010,19.4(0.16862037871956717),1.4(0.0880503144654088),0.4(0.09090909090909091),0.5(0.14705882352941177),0.0(0.0)
Adailton,Bologna,4,2009-2010,27.5(0.24165915238954014),2.1(0.1320754716981132),1.5(0.3409090909090909),1.0(0.29411764705882354),0.8(0.36363636363636365)
Marcelo Zalayeta,Bologna,0,2009-2010,22.5(0.19657348963029758),1.3(0.08176100628930817),0.5(0.11363636363636363),1.5(0.4411764705882353),0.0(0.0)
Andrea Raggi,Bologna,2,2009-2010,19.3(0.16771866546438235),2.1(0.1320754716981132),0.3(0.06818181818181818),0.1(0.029411764705882356),0.1(0.045454545454545456)
Emiliano Viviano,Bologna,1,2009-2010,3.1(0.021641118124436434),11.9(0.7484276729559749),0.0(0.0),0.0(0.0),0.1(0.045454545454545456)
Gaby Mudingayi,Bologna,2,2009-2010,31.6(0.27862939585211904),2.8(0.1761006289308176),0.1(0.022727272727272728),0.4(0.11764705882352942),0.0(0.0)
Nicola Mingazzini,Bologna,4,2009-2010,26.6(0.23354373309287652),3.0(0.18867924528301885),1.1(0.25),0.7(0.20588235294117646),0.6(0.2727272727272727)
Federico Casarini,Bologna,5,2009-2010,22.4(0.1956717763751127),1.6(0.10062893081761007),0.3(0.06818181818181818),0.7(0.20588235294117646),0.1(0.045454545454545456)
Vangelis Moras,Bologna,2,2009-2010,20.2(0.175834084761046),1.4(0.0880503144654088),0.1(0.022727272727272728),0.1(0.029411764705882356),0.0(0.0)
Miguel Britos,Bologna,2,2009-2010,19.4(0.16862037871956717),2.2(0.13836477987421383),0.0(0.0),0.1(0.029411764705882356),0.0(0.0)
Roberto Guana,Bologna,3,2009-2010,38.4(0.3399458972046889),6.0(0.3773584905660377),0.2(0.045454545454545456),0.8(0.23529411764705885),0.1(0.045454545454545456)
Marco Di Vaio,Bologna,5,2009-2010,19.2(0.16681695220919748),0.8(0.050314465408805034),0.2(0.045454545454545456),0.5(0.14705882352941177),0.0(0.0)
Salvatore Lanna,Bologna,2,2009-2010,25.6(0.224526600541028),1.5(0.09433962264150943),0.4(0.09090909090909091),0.1(0.029411764705882356),0.1(0.045454545454545456)
Antonio Buscé,Bologna,5,2009-2010,26.4(0.23174030658250677),1.3(0.08176100628930817),1.1(0.25),0.9(0.2647058823529412),0.1(0.045454545454545456)
Francesco Modesto,Bologna,5,2009-2010,23.8(0.20829576194770066),1.4(0.0880503144654088),0.9(0.20454545454545453),1.0(0.29411764705882354),0.2(0.09090909090909091)
Daniele Portanova,Bologna,2,2009-2010,15.9(0.1370604147880974),2.4(0.1509433962264151),0.1(0.022727272727272728),0.1(0.029411764705882356),0.0(0.0)
Erick Pulgar,Bologna,3,2016-2017,42.7(0.37871956717763755),4.2(0.2641509433962264),0.2(0.045454545454545456),0.8(0.23529411764705885),0.2(0.09090909090909091)
Blerim Dzemaili,Bologna,5,2016-2017,28.6(0.2515779981965735),2.5(0.15723270440251572),0.2(0.045454545454545456),1.0(0.29411764705882354),0.2(0.09090909090909091)
Marios Oikonomou,Bologna,2,2016-2017,35.2(0.3110910730387737),3.3(0.20754716981132074),0.0(0.0),0.0(0.0),0.1(0.045454545454545456)
Adam Masina,Bologna,2,2016-2017,32.6(0.2876465284039676),1.4(0.0880503144654088),0.4(0.09090909090909091),0.4(0.11764705882352942),0.0(0.0)
Antonio Mirante,Bologna,1,2016-2017,12.3(0.10459873760144277),10.9(0.6855345911949685),0.0(0.0),0.0(0.0),0.1(0.045454545454545456)
Ângelo Da Costa,Bologna,1,2016-2017,10.7(0.09017132551848513),9.9(0.6226415094339622),0.0(0.0),0.0(0.0),0.1(0.045454545454545456)
Filip Helander,Bologna,2,2016-2017,33.0(0.2912533814247069),1.1(0.06918238993710692),0.0(0.0),0.1(0.029411764705882356),0.0(0.0)
Mattia Destro,Bologna,5,2016-2017,11.6(0.09828674481514879),0.3(0.018867924528301886),0.0(0.0),0.5(0.14705882352941177),0.0(0.0)
Federico Viviani,Bologna,3,2016-2017,51.2(0.4553651938683499),7.8(0.49056603773584906),1.3(0.2954545454545454),0.4(0.11764705882352942),0.5(0.22727272727272727)
Godfred Donsah,Bologna,5,2016-2017,20.3(0.17673579801623088),0.9(0.05660377358490566),0.3(0.06818181818181818),0.5(0.14705882352941177),0.2(0.09090909090909091)
Emil Krafth,Bologna,2,2016-2017,28.3(0.24887285843101897),1.4(0.0880503144654088),0.5(0.11363636363636363),0.3(0.08823529411764706),0.1(0.045454545454545456)
Federico Di Francesco,Bologna,0,2016-2017,16.7(0.14427412082957622),1.0(0.06289308176100629),0.7(0.15909090909090906),1.4(0.4117647058823529),0.1(0.045454545454545456)
Ádám Nagy,Bologna,5,2016-2017,40.4(0.3579801623083859),1.3(0.08176100628930817),0.1(0.022727272727272728),0.8(0.23529411764705885),0.0(0.0)
Domenico Maietta,Bologna,2,2016-2017,37.1(0.32822362488728585),3.8(0.23899371069182387),0.1(0.022727272727272728),0.2(0.05882352941176471),0.0(0.0)
Vasilis Torosidis,Bologna,2,2016-2017,33.8(0.2984670874661857),2.0(0.12578616352201258),0.3(0.06818181818181818),0.1(0.029411764705882356),0.1(0.045454545454545456)
Ladislav Krejci,Bologna,0,2016-2017,23.6(0.20649233543733098),0.3(0.018867924528301886),1.2(0.2727272727272727),1.6(0.4705882352941177),0.3(0.13636363636363635)
Simone Verdi,Bologna,4,2016-2017,21.0(0.1830477908025248),3.0(0.18867924528301885),1.5(0.3409090909090909),1.3(0.3823529411764706),0.7(0.3181818181818181)
Ibrahima Mbaye,Bologna,2,2016-2017,34.8(0.3074842200180342),1.7(0.10691823899371068),0.1(0.022727272727272728),0.2(0.05882352941176471),0.0(0.0)
Daniele Gastaldello,Bologna,2,2016-2017,36.8(0.32551848512173126),4.5(0.2830188679245283),0.1(0.022727272727272728),0.1(0.029411764705882356),0.0(0.0)
Saphir Taïder,Bologna,2,2016-2017,42.4(0.37601442741208296),2.1(0.1320754716981132),0.3(0.06818181818181818),0.4(0.11764705882352942),0.1(0.045454545454545456)
Diego Laxalt,Bologna,5,2013-2014,16.6(0.14337240757439138),0.1(0.006289308176100629),0.4(0.09090909090909091),0.8(0.23529411764705885),0.1(0.045454545454545456)
Rolando Bianchi,Bologna,5,2013-2014,12.8(0.10910730387736702),0.3(0.018867924528301886),0.1(0.022727272727272728),0.9(0.2647058823529412),0.0(0.0)
Archimede Morleo,Bologna,5,2013-2014,17.4(0.15058611361587015),0.7(0.0440251572327044),0.8(0.18181818181818182),0.8(0.23529411764705885),0.2(0.09090909090909091)
Davide Moscardelli,Bologna,5,2013-2014,14.6(0.12533814247069433),1.2(0.07547169811320754),0.7(0.15909090909090906),0.7(0.20588235294117646),0.2(0.09090909090909091)
Panagiotis Kone,Bologna,4,2013-2014,22.0(0.19206492335437333),1.4(0.0880503144654088),1.3(0.2954545454545454),0.9(0.2647058823529412),0.6(0.2727272727272727)
Michele Pazienza,Bologna,3,2013-2014,34.5(0.3047790802524797),4.2(0.2641509433962264),0.0(0.0),0.6(0.17647058823529413),0.1(0.045454545454545456)
Rene Krhin,Bologna,5,2013-2014,31.2(0.27502254283137967),1.9(0.11949685534591194),0.1(0.022727272727272728),0.7(0.20588235294117646),0.0(0.0)
