CoachA,CoachB,relationship
Nate McMillan,Paul Westphal,assistant
Dwane Casey,Paul Westphal,assistant
Lionel Hollins,Paul Westphal,assistant
Kurt Rambis,Phil Jackson,assistant
Bill Cartwright,Phil Jackson,assistant
Jim Cleamons,Phil Jackson,assistant
Randy Wittman,Quinn Buckner,assistant
J.B. Bickerstaff,Randy Wittman,assistant
Mike Woodson,Randy Wittman,assistant
Byron Scott,Rick Adelman,assistant
John Wetzel,Rick Adelman,assistant
Mike Brown,Rick Carlisle,assistant
Kevin O'Neill,Rick Carlisle,assistant
Jim O'Brien,Rick Pitino,assistant
Stu Jackson,Rick Pitino,assistant
Kurt Rambis,Rudy Tomjanovich,assistant
Jay Triano,Sam Mitchell,assistant
Frank Johnson,Scott Skiles,assistant
Don Chaney,Scotty Robertson,assistant
Lionel Hollins,Sidney Lowe,assistant
Mike Schuler,Stan Albeck,assistant
Steve Clifford,Stan Van Gundy,assistant
Luke Walton,Steve Kerr,assistant
Jeff Van Gundy,Stu Jackson,assistant
Lionel Hollins,Stu Jackson,assistant
Sam Mitchell,Terry Porter,assistant
Bill Cartwright,Terry Porter,assistant
Bill Cartwright,Tim Floyd,assistant
K.C. Jones,Tom Heinsohn,assistant
Del Harris,Tom Nissalke,assistant
Jeff Hornacek,Tyrone Corbin,assistant
Jeff Bzdelik,Wes Unseld,assistant
Fred Hoiberg,Larry Brown,player
Fred Hoiberg,Larry Bird,player
Fred Hoiberg,Tim Floyd,player
Fred Hoiberg,Bill Cartwright,player
Fred Hoiberg,Flip Saunders,player
Fred Hoiberg,Kevin McHale,player
Tyronn Lue,Del Harris,player
Tyronn Lue,Kurt Rambis,player
Tyronn Lue,Phil Jackson,player
Tyronn Lue,Doug Collins,player
Tyronn Lue,Doc Rivers,player
Tyronn Lue,Johnny Davis,player
Tyronn Lue,Jeff Van Gundy,player
Tyronn Lue,Avery Johnson,player
Tyronn Lue,Mike Woodson,player
Tyronn Lue,Scott Skiles,player
Tyronn Lue,Stan Van Gundy,player
Rick Carlisle,K.C. Jones,player
Rick Carlisle,Rick Pitino,player
Rick Carlisle,Bill Fitch,player
Steve Kerr,Cotton Fitzsimmons,player
Steve Kerr,Lenny Wilkens,player
Steve Kerr,Matt Guokas,player
Steve Kerr,Phil Jackson,player
Steve Kerr,Greg Popovich,player
Steve Kerr,Maurice Cheeks,player
Mike D'Antoni,Phil Johnson,player
Mike D'Antoni,Rod Thorn,player
Mike D'Antoni,Joe Mullaney,player
Mike D'Antoni,Doug Moe,player
Nate McMillan,K.C. Jones,player
Nate McMillan,Bernie Bickerstaff,player
Nate McMillan,George Karl,player
Doc Rivers,Mike Fratello,player
Doc Rivers,Bob Weiss,player
Doc Rivers,Mike Schuler,player
Doc Rivers,Larry Brown,player
Doc Rivers,Pat Riley,player
Doc Rivers,Bob Hill,player
Luke Walton,Phil Jackson,player
Luke Walton,Mike Brown,player
Luke Walton,Byron Scott,player
Jason Kidd,Dick Motta,player
Jason Kidd,Jim Cleamons,player
Jason Kidd,Cotton Fitzsimmons,player
Jason Kidd,Scott Skiles,player
Jason Kidd,Danny Ainge,player
Jason Kidd,Byron Scott,player
Jason Kidd,Lawrence Frank,player
Jason Kidd,Avery Johnson,player
Jason Kidd,Rick Carlisle,player
Jason Kidd,Mike Woodson,player
Jeff Hornacek,John MacLeod,player
Jeff Hornacek,John Wetzel,player
Jeff Hornacek,Cotton Fitzsimmons,player
Jeff Hornacek,Doug Moe,player
Jeff Hornacek,Fred Carter,player
Jeff Hornacek,Jerry Sloan,player
Jeff Hornacek,Rick Pitino,player
Mike Woodson,Lenny Wilkens,player
Mike Woodson,Don Chaney,player
Mike Woodson,Gene Shue,player
Mike Woodson,Jack McKinney,player
Mike Woodson,Phil Johnson,player
Mike Woodson,Red Holzman,player
Mike Woodson,Larry Brown,player
Mike Woodson,Cotton Fitzsimmons,player
Larry Bird,Bill Fitch,player
Larry Bird,K.C. Jones,player
Larry Bird,Jimmy Rodgers,player
Larry Bird,Chris Ford,player
Don Chaney,Bill Russell,player
Don Chaney,Tom Heinsohn,player
Don Chaney,Rod Thorn,player
Don Chaney,Joe Mullaney,player
Don Chaney,Jerry Wes��,player
Don Chaney,Tom Sanders,player
Don Chaney,Dave Cowens,player
Don Chaney,Bill Fitch,player
Lenny Wilkens,Paul Seymour,player
Lenny Wilkens,Andrew Levane,player
Lenny Wilkens,Harry Gallatin,player
Lenny Wilkens,Richie Guerin,player
Lenny Wilkens,Bill Fitch,player
Monty Williams,Pat Riley,player
Monty Williams,Don Nelson,player
Monty Williams,Jeff Van Gundy,player
Monty Williams,Bob Hill,player
Monty Williams,Greg Popovich,player
Monty Williams,Mike D'Antoni,player
Monty Williams,Doc Rivers,player
Monty Williams,Larry Brown,player
Mark Jackson,Rick Pitino,player
Mark Jackson,Stu Jackson,player
Mark Jackson,John MacLeod,player
Mark Jackson,Pat Riley,player
Mark Jackson,Bob Weiss,player
Mark Jackson,Dick Motta,player
Mark Jackson,Bernie Bickerstaff,player
Mark Jackson,Larry Brown,player
Mark Jackson,Larry Bird,player
Mark Jackson,Lenny Wilkens,player
Mark Jackson,Jerry Sloan,player
Mark Jackson,Jeff Van Gundy,player
Pat Riley,Jack McMahon,player
Pat Riley,Alex Hannum,player
Pat Riley,Bill Sharman,player
Pat Riley,John MacLeod,player
Bill Hanzlik,Lenny Wilkens,player
Bill Hanzlik,Doug Moe,player
Frank Johnson,Gene Shue,player
Frank Johnson,Kevin Loughery,player
Frank Johnson,Wes Unseld,player
Frank Johnson,Don Chaney,player
Frank Johnson,Paul Westphal,player
Paul Westphal,Tom Heinsohn,player
Paul Westphal,Lenny Wilkens,player
Paul Westphal,Red Holzman,player
Paul Westphal,Hubie Brown,player
Paul Westphal,John MacLeod,player
Randy Wittman,Mike Fratello,player
Randy Wittman,Jerry Reynolds,player
Randy Wittman,Dick Versace,player
Randy Wittman,Bob Hill,player
Kurt Rambis,Paul Westhead,player
Kurt Rambis,Pat Riley,player
Kurt Rambis,Gene Littles,player
Kurt Rambis,Dick Harter,player
Kurt Rambis,Cotton Fitzsimmons,player
Kurt Rambis,Paul Westphal,player
Kurt Rambis,Garry St. Jean,player
Kurt Rambis,Magic Johnson,player
Kurt Rambis,Randy Pfund,player
Kurt Rambis,Bill Bertka,player
Kurt Rambis,Del Harris,player
Kevin McHale,Bill Fitch,player
Kevin McHale,K.C. Jones,player
