name,counts
2yfyz5yyua,1
2yqfbluigs,1
2ywaxor7ka,1
2za4uvzrzk,1
2zeixven0m,1
2zgsh2kedj,1
3,31
3.1m,1
3.5m,3
30,15
"30,000",1
30.5m,1
"300,000",1
300m,5
300wcuzwid,1
3080wwebue,1
30h,1
30jdtmv4g8,1
30m,56
30million,1
30n5ap3kyj,1
30th,1
31,4
31.8m,1
31m,4
31st,2
32,4
320k,1
320m,1
32m,2
33,2
33m,4
33y9qqhdil,1
34,1
34m,5
34r9ypztug,1
35,8
"35,2",1
35.2m,1
352m,1
35m,46
35million,2
36.5m,1
368lv2d4sd,1
36m,5
37.5m,1
37jy2qm1kz,1
37m,2
38m,3
39,1
39.5m,2
39.8,1
39jfbagttp,1
39m,5
39million,1
3a4niqlpyv,1
3a5wuqfw1p,1
3bgh4xvmp0,1
3br2aqn4cn,1
3bzvjkwu4w,1
3cdfvqsbf5,1
3cuqvseykw,1
3cw5nsrmeg,1
3dl0qfvvfu,1
3dlgdwenjg,1
3dnvc78cel,1
3dtwcvdmvt,1
3e,1
3e0gtthdjo,1
3eme,1
3ewv1s2k5a,1
3fewhuqkpe,1
3fqw5pf2zk,1
3fsnhhrm7x,1
3ftjvcdue3,1
3guqcgv5p8,1
3gwvqzaiq8,1
3hkloxfpvl,1
3jcvenoa4t,1
3l0qses3pz,1
3llo2vs7ay,1
3lysqyqhdf,1
3m,7
3million,1
3mmfspqpif,1
3modlntfn4,1
3ngdfcwjfs,1
3novxinb6b,1
3ondue2fyn,1
3os5cwija1,1
3otbrjckxd,1
3ozvmstb9u,1
3qeysxxieo,1
3qunk5ltwh,1
3rd,8
3rfwhs5qrz,1
3ruerxuh70,1
3sbapgrwec,1
3spqh8l359,1
3t1jy8ecef,1
3tonx4yqqv,1
3udolmbddc,1
3uvracoecq,1
3vhndu5zss,3
3xgrhjgneq,1
3z0zodjgas,1
3zjz1l53bu,1
3zkuy0tn2x,1
3zmnjciuod,1
3znkgh9f33,1
3zqlt97qie,1
3zyujzubhu,1
3️⃣5️⃣,1
4,23
"4,5m",1
4.5m,2
4.8m,1
40,9
"400,000",2
400m,1
40gobgoeo8,1
40gp63jwyb,1
40m,70
40million,2
41pegltra0,1
42,1
42m,6
42yr4zj2iw,1
43,1
